Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,fitriana alif,5,2026-08-20T10:33:44.176Z,Alhamdulillah Terima kasih RS pku sekapuk,alhamdulillah terima kasih rs pku sekapuk,alhamdulillah terima kasih rumah sakit pku sekapuk,alhamdulillah terima kasih rumah sakit pku sekapuk,Kesehatan,Positif,0.8967
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,afkarul mujaddidi,5,2026-08-16T03:48:54.063Z,Bagus,bagus,bagus,bagus,Lainnya,Positif,0.9961
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,Yulis Faroh,5,2026-08-15T09:35:44.181Z,Tempatnya sudah bagus dan pelayanannya juga memuaskan,tempatnya sudah bagus dan pelayanannya juga memuaskan,tempatnya sudah bagus dan pelayanannya juga memuaskan,tempatnya bagus pelayanannya memuaskan,Pelayanan,Positif,0.9975
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,Imamah Sholihah,5,2026-08-14T13:07:34.029Z,terima kasih pelayanan yang baik dan anak saya sudah sembuh,terima kasih pelayanan yang baik dan anak saya sudah sembuh,terima kasih pelayanan yang baik dan anak saya sudah sembuh,terima kasih pelayanan baik anak sembuh,Pelayanan,Positif,0.989
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,Khoirur Rosyidin,5,2026-08-13T11:36:09.426Z,"Dekat fasilitas ibadah, susternya cekatan dan baik, ada visit dokter jaga dan dokter spesialis",dekat fasilitas ibadah susternya cekatan dan baik ada visit dokter jaga dan dokter spesialis,dekat fasilitas ibadah susternya cekatan dan baik ada visit dokter jaga dan dokter spesialis,dekat fasilitas ibadah susternya cekatan baik visit dokter jaga dokter spesialis,Fasilitas,Positif,0.902
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,Ratih Ayu,5,2026-08-13T11:02:29.369Z,Terima kasih sudah merawat anak saya dengan baik dan sabar,terima kasih sudah merawat anak saya dengan baik dan sabar,terima kasih sudah merawat anak saya dengan baik dan sabar,terima kasih merawat anak baik sabar,Kesehatan,Positif,0.988
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,esther Phobia,5,2026-08-13T00:47:16.403Z,pelayanan nya baik,pelayanan nya baik,pelayanan nya baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,Naura Ramadhani,5,2026-08-09T01:22:35.948Z,Pelayanan bagus ramah puas,pelayanan bagus ramah puas,pelayanan bagus ramah puas,pelayanan bagus ramah puas,Pelayanan,Positif,0.9966
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,Im Ron,5,2026-08-09T01:18:39.648Z,pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Rumah Sakit,RS PKU Muhammadiyah Sekapuk,4.5,655,Sunnatul Muhammadah,5,2026-08-09T01:11:34.834Z,pelayanan bagus terima kasih,pelayanan bagus terima kasih,pelayanan bagus terima kasih,pelayanan bagus terima kasih,Pelayanan,Positif,0.9949
