Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,HATERSH,5,2026-08-20T13:17:03.372Z,"Pelayanan bagus, perawatnya ramah dan gercep... ruangan nyaman dan bersih.",pelayanan bagus perawatnya ramah dan gercep ruangan nyaman dan bersih,pelayanan bagus perawatnya ramah dan gercep ruangan nyaman dan bersih,pelayanan bagus perawatnya ramah gercep ruangan nyaman bersih,Pelayanan,Positif,0.996
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,laa laala,5,2026-08-20T09:52:29.522Z,tempat nyaman+tenang+memenuhi+ ramah pokoknya bes,tempat nyaman tenang memenuhi ramah pokoknya bes,tempat nyaman tenang memenuhi ramah pokoknya bes,tempat nyaman tenang memenuhi ramah pokoknya bes,Pelayanan,Positif,0.9976
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Jemi Simon,5,2026-08-20T09:45:24.288Z,bagus fasilitas,bagus fasilitas,bagus fasilitas,bagus fasilitas,Fasilitas,Positif,0.9961
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,sipp,5,2026-08-20T09:29:39.126Z,"aku suka banget pelayanan bagus dan memuaskan, janji langganan",aku suka banget pelayanan bagus dan memuaskan janji langganan,aku suka banget pelayanan bagus dan memuaskan janji langganan,aku suka banget pelayanan bagus memuaskan janji langganan,Pelayanan,Positif,0.9975
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Musarofah,5,2026-08-20T02:57:01.657Z,Pelayanan baik banget,pelayanan baik banget,pelayanan baik banget,pelayanan baik banget,Pelayanan,Positif,0.9965
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Fitri Natasya,5,2026-08-20T01:23:52.901Z,pelayanan sangat cepat dan ramah,pelayanan sangat cepat dan ramah,pelayanan sangat cepat dan ramah,pelayanan cepat ramah,Pelayanan,Positif,0.9955
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Silvia Na,5,2026-08-20T01:21:41.917Z,Pelayanan sangat baik dan suster sangat rama2,pelayanan sangat baik dan suster sangat rama2,pelayanan sangat baik dan suster sangat rama2,pelayanan baik suster rama2,Pelayanan,Positif,0.9889
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Kurnia,5,2026-08-20T01:19:31.670Z,Pelayanan baik Petugas ramah,pelayanan baik petugas ramah,pelayanan baik petugas ramah,pelayanan baik petugas ramah,Pelayanan,Positif,0.9942
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Sindy Firdausa,5,2026-08-19T07:34:00.657Z,"Pelayanan baik dan ramah, petugas rs nya juga membantu saat ada kendala, dan tempatnya bersih",pelayanan baik dan ramah petugas rs nya juga membantu saat ada kendala dan tempatnya bersih,pelayanan baik dan ramah petugas rumah sakit nya juga membantu saat ada kendala dan tempatnya bersih,pelayanan baik ramah petugas rumah sakit membantu kendala tempatnya bersih,Pelayanan,Positif,0.9937
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Bening Ramadhani,5,2026-08-19T07:23:25.486Z,baik,baik,baik,baik,Lainnya,Positif,0.9844
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,elysaherlina Wati,5,2026-08-19T07:18:11.664Z,Pelayanan baguss,pelayanan baguss,pelayanan baguss,pelayanan baguss,Pelayanan,Positif,0.9966
Kesehatan,Rumah Sakit,RS. Surya Medika,4.6,1658,Sunyoto,5,2026-08-19T04:16:31.286Z,Pelayanan baik dan ramah sekali,pelayanan baik dan ramah sekali,pelayanan baik dan ramah sekali,pelayanan baik ramah,Pelayanan,Positif,0.995
