Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Party media,1,2026-08-19T01:46:09.864Z,Saya tak begitu paham dengan sistem kerja disini penanganan begitu lambat pegawai sering mondar mandir tanpa urgensi yang seharusnya duduk ditempat melayani calon pasien.,saya tak begitu paham dengan sistem kerja disini penanganan begitu lambat pegawai sering mondar mandir tanpa urgensi yang seharusnya duduk ditempat melayani calon pasien,saya tak begitu paham dengan sistem kerja disini penanganan begitu lambat pegawai sering mondar mandir tanpa urgensi yang seharusnya duduk ditempat melayani calon pasien,tak begitu paham sistem kerja disini penanganan begitu lambat pegawai sering mondar mandir tanpa urgensi seharusnya duduk ditempat melayani calon pasien,Pelayanan,Negatif,0.9931
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Paquita Maharani Leksono,5,2026-07-21T03:55:42.467Z,"Disambut hangat seperti keluarga, sukses terus RSUD Umar Masud ❤️",disambut hangat seperti keluarga sukses terus rsud umar masud,disambut hangat seperti keluarga sukses terus rsud umar masud,disambut hangat seperti keluarga sukses terus rsud umar masud,Lainnya,Positif,0.9304
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Martining Shoffa Puspitaningrum,5,2026-07-21T03:01:44.840Z,Satu-satunya RS di Pulau Bawean Gresik. Rumah sakit bersih dan nyaman. Terasa asri dan sejuk di dalam RS nya,satu satunya rs di pulau bawean gresik rumah sakit bersih dan nyaman terasa asri dan sejuk di dalam rs nya,satu satunya rumah sakit di pulau bawean gresik rumah sakit bersih dan nyaman terasa asri dan sejuk di dalam rumah sakit nya,satu satunya rumah sakit pulau bawean gresik rumah sakit bersih nyaman terasa asri sejuk rumah sakit,Fasilitas,Positif,0.9927
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Charlie Sp,5,2026-07-21T03:00:43.141Z,Rumah sakit kebanggaan warga pulau Bawean ⭐️,rumah sakit kebanggaan warga pulau bawean,rumah sakit kebanggaan warga pulau bawean,rumah sakit kebanggaan warga pulau bawean,Kesehatan,Netral,0.9127
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Dinda Andaru Wirsa,5,2026-07-21T01:49:01.657Z,"Pelayanan baik, sistem rumah sakit RSUD Umar Masud modern, dan para dokter-perawat-staf RS selalu update ilmu dan info terbaru.. best service RSUD Umar Masud 👍✨️",pelayanan baik sistem rumah sakit rsud umar masud modern dan para dokter perawat staf rs selalu update ilmu dan info terbaru best service rsud umar masud,pelayanan baik sistem rumah sakit rsud umar masud modern dan para dokter perawat staf rumah sakit selalu update ilmu dan info terbaru best service rsud umar masud,pelayanan baik sistem rumah sakit rsud umar masud modern para dokter perawat staf rumah sakit selalu update ilmu info terbaru best service rsud umar masud,Pelayanan,Positif,0.7993
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,angga bolang,3,2026-05-25T07:02:25.368Z,Tolong untuk medical check up nya di kasih ruangan khusus biar enak ngmong pasiennya,tolong untuk medical check up nya di kasih ruangan khusus biar enak ngmong pasiennya,tolong untuk medical check up nya di kasih ruangan khusus biar enak ngmong pasiennya,tolong medical check up kasih ruangan khusus biar enak ngmong pasiennya,Fasilitas,Netral,0.8076
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Boy'z bolank,2,2026-05-04T02:24:35.123Z,Menurut saya pelayanannya sangat kurang ..trllu lambat untuk melayani...kami datang pagi agar bisa dilayani secara cpt tapi kami menunggu berjam jam sampai capek nunggu..nomer antrian awal tapi selesai nya sampai jam 1&2 sore,menurut saya pelayanannya sangat kurang trllu lambat untuk melayani kami datang pagi agar bisa dilayani secara cpt tapi kami menunggu berjam jam sampai capek nunggu nomer antrian awal tapi selesai nya sampai jam sore,menurut saya pelayanannya sangat kurang trllu lambat untuk melayani kami datang pagi agar bisa dilayani secara cpt tapi kami menunggu berjam jam sampai capek nunggu nomer antrian awal tapi selesai nya sampai jam sore,menurut pelayanannya kurang trllu lambat melayani datang pagi agar dilayani secara cpt menunggu berjam jam sampai capek nunggu nomer antrian awal selesai sampai jam sore,Pelayanan,Negatif,0.9935
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Ratu Rara,1,2026-02-14T01:56:49.739Z,"Sekelas pendaftaran di RS lama banget, pendaftaran doang padahal, belum lagi nunggu per poli, pelayanan pendaftaran judes, kasian bagi orang sakit yang nunggu pendaftaran aja kisaran 2 jam bahkan lebih, pelayanan kalah jauh sama puskesmas sangkapura yang udah tertata, dan sistem antri perpoli jadi ga ngantri dua kali, di RS UM ga profesional, perlu di ubah atau ditingkatkan lagi ini,, kalo saya ga perlunya ke rs mah saya ke puskesmas aja",sekelas pendaftaran di rs lama banget pendaftaran doang padahal belum lagi nunggu per poli pelayanan pendaftaran judes kasian bagi orang sakit yang nunggu pendaftaran aja kisaran jam bahkan lebih pelayanan kalah jauh sama puskesmas sangkapura yang udah tertata dan sistem antri perpoli jadi ga ngantri dua kali di rs um ga profesional perlu di ubah atau ditingkatkan lagi ini kalo saya ga perlunya ke rs mah saya ke puskesmas aja,sekelas pendaftaran di rumah sakit lama banget pendaftaran doang padahal belum lagi nunggu per poli pelayanan pendaftaran judes kasian bagi orang sakit yang nunggu pendaftaran aja kisaran jam bahkan lebih pelayanan kalah jauh sama puskesmas sangkapura yang udah tertata dan sistem antrian perpoli jadi tidak antrian dua kali di rumah sakit um tidak profesional perlu di ubah atau ditingkatkan lagi ini kalo saya tidak perlunya ke rumah sakit mah saya ke puskesmas aja,sekelas pendaftaran rumah sakit lama banget pendaftaran doang padahal nunggu per poli pelayanan pendaftaran judes kasian bagi orang sakit nunggu pendaftaran aja kisaran jam bahkan pelayanan kalah jauh sama puskesmas sangkapura udah tertata sistem antrian perpoli jadi antrian dua kali rumah sakit um profesional perlu ubah ditingkatkan kalo perlunya rumah sakit mah puskesmas aja,Pelayanan,Negatif,0.9831
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Thariqatul Jannah,5,2026-01-05T03:07:29.300Z,Sangat membantu masyarakat bawean pelayanannya ok🫶🏻,sangat membantu masyarakat bawean pelayanannya ok,sangat membantu masyarakat bawean pelayanannya oke,membantu masyarakat bawean pelayanannya oke,Pelayanan,Positif,0.9955
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,Gea Kahar,1,2025-12-10T21:06:11.598Z,"Rumah sakit model apa kayak gini,,, baru pertama kali saya lihat orang sakit di rumah sakit gak di kasih selimut… dimana mana rumah sakit pasti selimut sudah pasti merupakan fasilitas rumah sakit. Terus pelayanannya zonk ke pasien… perawat harus di panggil berkali kalai baru datang… tau ya bilangnya sabar nunggu dokter. Setidaknya perawat yanga ada disitu lihat dulu jgn asyik tidur (yang jaga malam)",rumah sakit model apa kayak gini baru pertama kali saya lihat orang sakit di rumah sakit gak di kasih selimut dimana mana rumah sakit pasti selimut sudah pasti merupakan fasilitas rumah sakit terus pelayanannya zonk ke pasien perawat harus di panggil berkali kalai baru datang tau ya bilangnya sabar nunggu dokter setidaknya perawat yanga ada disitu lihat dulu jgn asyik tidur yang jaga malam,rumah sakit model apa kayak gini baru pertama kali saya lihat orang sakit di rumah sakit tidak di kasih selimut dimana mana rumah sakit pasti selimut sudah pasti merupakan fasilitas rumah sakit terus pelayanannya zonk ke pasien perawat harus di panggil berkali kalai baru datang tau ya bilangnya sabar nunggu dokter setidaknya perawat yanga ada disitu lihat dulu jgn asyik tidur yang jaga malam,rumah sakit model apa kayak gini pertama kali lihat orang sakit rumah sakit kasih selimut dimana mana rumah sakit pasti selimut pasti merupakan fasilitas rumah sakit terus pelayanannya zonk pasien perawat harus panggil berkali kalai datang tau ya bilangnya sabar nunggu dokter setidaknya perawat yanga disitu lihat dulu jgn asyik tidur jaga malam,Pelayanan,Negatif,0.9803
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,ija pesta,5,2025-11-05T11:15:22.307Z,Tetap semangat tim medis smoga kalian selalu dlm lindungannya,tetap semangat tim medis smoga kalian selalu dlm lindungannya,tetap semangat tim medis smoga kalian selalu dalam lindungannya,tetap semangat tim medis smoga kalian selalu lindungannya,Lainnya,Positif,0.7535
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,rizki jauzi,5,2025-11-05T04:37:41.833Z,"Ruangan bersih dan anyaman, petugas nya ramah dan cantik, cihuyyy",ruangan bersih dan anyaman petugas nya ramah dan cantik cihuyyy,ruangan bersih dan anyaman petugas nya ramah dan cantik cihuyyy,ruangan bersih anyaman petugas ramah cantik cihuyyy,Pelayanan,Positif,0.9972
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,nailul millah,5,2025-11-05T04:29:45.808Z,Sangat memuaskan,sangat memuaskan,sangat memuaskan,memuaskan,Lainnya,Positif,0.996
Kesehatan,Rumah Sakit,RSUD UMAR MAS'UD BAWEAN KABUPATEN GRESIK,4.3,58,siti nur dina,5,2025-11-05T04:29:15.833Z,"Rumah sakit yg luar biasa, dengan segala keterbatasan di kepulauan tapi terus memberikan pelayanan yg memuaskan, terimakasih.. sukses terus",rumah sakit yg luar biasa dengan segala keterbatasan di kepulauan tapi terus memberikan pelayanan yg memuaskan terimakasih sukses terus,rumah sakit yang luar biasa dengan segala keterbatasan di kepulauan tapi terus memberikan pelayanan yang memuaskan terimakasih sukses terus,rumah sakit luar biasa segala keterbatasan kepulauan terus memberikan pelayanan memuaskan terimakasih sukses terus,Pelayanan,Positif,0.9751
