Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,Imam Muhaji,5,2026-08-20T03:13:04.006Z,Pelayanannya sangat baik,pelayanannya sangat baik,pelayanannya sangat baik,pelayanannya baik,Pelayanan,Positif,0.9965
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,Rizky Nizar,5,2026-08-19T09:17:43.260Z,RS Grha Husada luar biasa 🥰 Pelayanannya bagus dan sangat direkomendasikan untuk periksa disini,rs grha husada luar biasa pelayanannya bagus dan sangat direkomendasikan untuk periksa disini,rumah sakit grha husada luar biasa pelayanannya bagus dan sangat direkomendasikan untuk periksa disini,rumah sakit grha husada luar biasa pelayanannya bagus direkomendasikan periksa disini,Pelayanan,Positif,0.9968
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,Jaya Digital,1,2026-08-18T11:51:49.559Z,"Untuk farmasi gabisa di bintang 0 ya ? Kalau memang kekurangan tenaga kerja bisa di restruktur gak sih, banyak tenaga kerja lain kelihatanya santai, tapi farmasi kayak kuwalahan sampai berjam jam antri obat, mau umum, mau asuransi 🫩",untuk farmasi gabisa di bintang ya kalau memang kekurangan tenaga kerja bisa di restruktur gak sih banyak tenaga kerja lain kelihatanya santai tapi farmasi kayak kuwalahan sampai berjam jam antri obat mau umum mau asuransi,untuk farmasi gabisa di bintang ya kalau memang kekurangan tenaga kerja bisa di restruktur tidak sih banyak tenaga kerja lain kelihatanya santai tapi farmasi kayak kuwalahan sampai berjam jam antrian obat mau umum mau asuransi,farmasi gabisa bintang ya memang kekurangan tenaga kerja restruktur banyak tenaga kerja lain kelihatanya santai farmasi kayak kuwalahan sampai berjam jam antrian obat mau umum mau asuransi,Pelayanan,Negatif,0.9925
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,Bakoel Sulasi,1,2026-08-18T11:48:51.688Z,"Bukanya mau menjelekkan ya, coba di reformasi untuk bagian farmasinya, lelet parah, kuitung ada 8 orang antri obat dari jam 10 pagi, sampai jam 1 siang belum selesai, parah si",bukanya mau menjelekkan ya coba di reformasi untuk bagian farmasinya lelet parah kuitung ada orang antri obat dari jam pagi sampai jam siang belum selesai parah si,bukanya mau menjelekkan ya coba di reformasi untuk bagian farmasinya lelet parah kuitung ada orang antrian obat dari jam pagi sampai jam siang belum selesai parah si,bukanya mau menjelekkan ya coba reformasi bagian farmasinya lelet parah kuitung orang antrian obat jam pagi sampai jam siang selesai parah si,Pelayanan,Negatif,0.9981
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,Project Monet,1,2026-08-18T11:47:25.948Z,"Pelayanan sangat baik mulai dari loby, reseptionis, dokter spesialis, cuma untuk farmasinya lama banget, sampai ada bapak bapak lansia gak kuat nunggu izin pulang dulu",pelayanan sangat baik mulai dari loby reseptionis dokter spesialis cuma untuk farmasinya lama banget sampai ada bapak bapak lansia gak kuat nunggu izin pulang dulu,pelayanan sangat baik mulai dari loby reseptionis dokter spesialis cuma untuk farmasinya lama banget sampai ada bapak bapak lansia tidak kuat nunggu izin pulang dulu,pelayanan baik mulai loby reseptionis dokter spesialis cuma farmasinya lama banget sampai bapak bapak lansia kuat nunggu izin pulang dulu,Pelayanan,Negatif,0.9309
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,ichsan sugandi,1,2026-08-14T05:34:36.023Z,Pelayanan sangan buruk untuk terapi wicara sudah daftar online tepat pukul 08.00 tapi ditolak,pelayanan sangan buruk untuk terapi wicara sudah daftar online tepat pukul tapi ditolak,pelayanan sangan buruk untuk terapi wicara sudah daftar online tepat pukul tapi ditolak,pelayanan sangan buruk terapi wicara daftar online tepat pukul ditolak,Pelayanan,Negatif,0.9964
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,Fajar wahyuniyah,5,2026-08-11T08:43:50.714Z,"Pelayanan sangat ramah, petugasnya baik semua",pelayanan sangat ramah petugasnya baik semua,pelayanan sangat ramah petugasnya baik semua,pelayanan ramah petugasnya baik semua,Pelayanan,Positif,0.9961
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,Wanda DwiOKN,5,2026-08-10T05:14:12.411Z,"Terakhir kesini tahun 2019 dan sekarang dapat rujukan lagi disini, seneng banget sama pelayanannya mulai dari loket pendaftaran yg informatif, doker dan nakes nya yg baik, fasilitas serta penataan informasi² yang nyaman dan jelas, sampai dibagian pelayanan kasir dan farmasinya yg cepat. Ga nyesel pilih RS ini jadi tempat rujukan 👍🏻",terakhir kesini tahun dan sekarang dapat rujukan lagi disini seneng banget sama pelayanannya mulai dari loket pendaftaran yg informatif doker dan nakes nya yg baik fasilitas serta penataan informasi yang nyaman dan jelas sampai dibagian pelayanan kasir dan farmasinya yg cepat ga nyesel pilih rs ini jadi tempat rujukan,terakhir kesini tahun dan sekarang dapat rujukan lagi disini seneng banget sama pelayanannya mulai dari loket pendaftaran yang informatif doker dan nakes nya yang baik fasilitas serta penataan informasi yang nyaman dan jelas sampai dibagian pelayanan kasir dan farmasinya yang cepat tidak nyesel pilih rumah sakit ini jadi tempat rujukan,terakhir kesini tahun sekarang rujukan disini seneng banget sama pelayanannya mulai loket pendaftaran informatif doker nakes baik fasilitas serta penataan informasi nyaman jelas sampai dibagian pelayanan kasir farmasinya cepat nyesel pilih rumah sakit jadi tempat rujukan,Pelayanan,Positif,0.9937
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,keyzajuventine,5,2026-08-07T08:03:39.592Z,TEMPATNYA BERSIH BANGET,tempatnya bersih banget,tempatnya bersih banget,tempatnya bersih banget,Fasilitas,Positif,0.9971
Kesehatan,Rumah Sakit,Rumah Sakit Grha Husada,4.6,560,fara faza,5,2026-08-05T05:27:14.260Z,"Petugasnya ramah, sopan, dan sigap dalam membantu. Lingkungan rumah sakit juga bersih dan nyaman. Semoga pelayanan yang sudah baik ini terus dipertahankan dan semakin ditingkatkan. Terima kasih kepada seluruh tenaga kesehatan dan staf yang telah memberikan pelayanan terbaik.",petugasnya ramah sopan dan sigap dalam membantu lingkungan rumah sakit juga bersih dan nyaman semoga pelayanan yang sudah baik ini terus dipertahankan dan semakin ditingkatkan terima kasih kepada seluruh tenaga kesehatan dan staf yang telah memberikan pelayanan terbaik,petugasnya ramah sopan dan sigap dalam membantu lingkungan rumah sakit juga bersih dan nyaman semoga pelayanan yang sudah baik ini terus dipertahankan dan semakin ditingkatkan terima kasih kepada seluruh tenaga kesehatan dan staf yang telah memberikan pelayanan terbaik,petugasnya ramah sopan sigap membantu lingkungan rumah sakit bersih nyaman semoga pelayanan baik terus dipertahankan semakin ditingkatkan terima kasih kepada seluruh tenaga kesehatan staf telah memberikan pelayanan terbaik,Pelayanan,Positif,0.9863
