Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,Alfiyah Maulidah,5,2026-08-20T02:12:01.750Z,"Pelayanan cepat dan baik dan ramah enak juga dokter""nya pelayanan cepat dan ramah thank you",pelayanan cepat dan baik dan ramah enak juga dokter nya pelayanan cepat dan ramah thank you,pelayanan cepat dan baik dan ramah enak juga dokter nya pelayanan cepat dan ramah thank you,pelayanan cepat baik ramah enak dokter pelayanan cepat ramah thank you,Pelayanan,Positif,0.9921
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,Syayidah Roufatus Sadiyah,5,2026-08-20T02:08:45.213Z,Sangat puas dengan pelayanan rumah sakit Khodijah Ibu&anak perawatan nya juga ramah baik cepat juga pelayanan,sangat puas dengan pelayanan rumah sakit khodijah ibu anak perawatan nya juga ramah baik cepat juga pelayanan,sangat puas dengan pelayanan rumah sakit khodijah ibu anak perawatan nya juga ramah baik cepat juga pelayanan,puas pelayanan rumah sakit khodijah ibu anak perawatan ramah baik cepat pelayanan,Pelayanan,Positif,0.9914
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,Elis Sikhatin,5,2026-08-18T02:10:23.621Z,"Sangat baguss dan ramah, dekat dengan rumah juga jd bisa sangat terjangkau",sangat baguss dan ramah dekat dengan rumah juga jd bisa sangat terjangkau,sangat baguss dan ramah dekat dengan rumah juga jd bisa sangat terjangkau,baguss ramah dekat rumah jd terjangkau,Pelayanan,Positif,0.997
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,Ahmad shofi ubaidillah Ahmad shofi,5,2026-08-15T02:09:43.298Z,"Pelayanan bagus, kamar bersih, perawatnya ramah",pelayanan bagus kamar bersih perawatnya ramah,pelayanan bagus kamar bersih perawatnya ramah,pelayanan bagus kamar bersih perawatnya ramah,Pelayanan,Positif,0.9961
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,Gharneta,5,2026-08-15T02:07:34.381Z,"Bagus, dokter dan susternya ramah2🥰",bagus dokter dan susternya ramah2,bagus dokter dan susternya ramah2,bagus dokter susternya ramah2,Pelayanan,Positif,0.9963
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,shofi maulana,5,2026-08-14T02:12:53.143Z,pelayananya baik.. pegawainya ramah ramah,pelayananya baik pegawainya ramah ramah,pelayananya baik pegawainya ramah ramah,pelayananya baik pegawainya ramah ramah,Pelayanan,Positif,0.9955
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,Muhamad Barir Barir,4,2026-08-13T02:10:10.537Z,Sangat Baik,sangat baik,sangat baik,baik,Lainnya,Positif,0.9844
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,Habibatul Faridah,5,2026-08-12T02:12:10.427Z,Pelayanan nya sangat bagus,pelayanan nya sangat bagus,pelayanan nya sangat bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,mi phone,5,2026-08-12T02:10:21.310Z,"pelayanannya bagus, perwatnya ramah ramah, tindakan cepat.",pelayanannya bagus perwatnya ramah ramah tindakan cepat,pelayanannya bagus perwatnya ramah ramah tindakan cepat,pelayanannya bagus perwatnya ramah ramah tindakan cepat,Pelayanan,Positif,0.996
Kesehatan,Rumah Sakit,Rumah Sakit Ibu dan Anak Khodijah,4.7,890,mujib salim,5,2026-08-11T07:48:33.590Z,"Pelayanan baik, cepat",pelayanan baik cepat,pelayanan baik cepat,pelayanan baik cepat,Pelayanan,Positif,0.9949
