Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Mega Nur Laila,5,2026-07-22T06:28:45.702Z,Pelayanan nya baik meskipun pakai bpjs (igd petrokimia),pelayanan nya baik meskipun pakai bpjs igd petrokimia,pelayanan nya baik meskipun pakai bpjs igd petrokimia,pelayanan baik meskipun pakai bpjs igd petrokimia,Pelayanan,Negatif,0.9787
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Yanti Nur,4,2026-07-21T20:01:04.137Z,Nakes ramah2..cm syng utk kantin wrung yg dblkng RS mbogok.masa bli mie ayam 2 es teh 1 dhargai 45rb🤦🏻‍♀️pdhl mie ayam TDK sprti mie ayam PD umumnya.mie ayam RS mie kuah,nakes ramah2 cm syng utk kantin wrung yg dblkng rs mbogok masa bli mie ayam es teh dhargai 45rbpdhl mie ayam tdk sprti mie ayam pd umumnya mie ayam rs mie kuah,nakes ramah2 cm syng untuk kantin wrung yang dblkng rumah sakit mbogok masa bli mie ayam es teh dhargai 45rbpdhl mie ayam tidak sprti mie ayam pada umumnya mie ayam rumah sakit mie kuah,nakes ramah2 cm syng kantin wrung dblkng rumah sakit mbogok masa bli mie ayam es teh dhargai 45rbpdhl mie ayam sprti mie ayam umumnya mie ayam rumah sakit mie kuah,Pelayanan,Netral,0.6862
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,MUHAMAD HARIS HASBULLAH,5,2026-07-20T10:27:43.597Z,Terbaik pelayanan semua pelayanannya,terbaik pelayanan semua pelayanannya,terbaik pelayanan semua pelayanannya,terbaik pelayanan semua pelayanannya,Pelayanan,Negatif,0.996
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Zach Zac,5,2026-07-19T17:20:23.043Z,gercep petugas fast respon IGD,gercep petugas fast respon igd,gercep petugas fast respon igd,gercep petugas fast respon igd,Pelayanan,Netral,0.9854
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,AJENG LARASATI,5,2026-07-19T07:44:15.814Z,Pengalaman pertama ke IGD Petro ibu saya merasa tenang nyaman selama penanganan,pengalaman pertama ke igd petro ibu saya merasa tenang nyaman selama penanganan,pengalaman pertama ke igd petro ibu saya merasa tenang nyaman selama penanganan,pengalaman pertama igd petro ibu merasa tenang nyaman selama penanganan,Fasilitas,Negatif,0.7138
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Fina Latifah,4,2026-07-18T15:38:16.941Z,pelayanan IGD baik,pelayanan igd baik,pelayanan igd baik,pelayanan igd baik,Pelayanan,Negatif,0.9946
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Novia Hendrawahyu,5,2026-07-18T11:30:48.160Z,"Terima kasih RS Petrokimia Gresik, pelayanan sangat memuaskan, sukses selalu RS Petrokimia Gresik",terima kasih rs petrokimia gresik pelayanan sangat memuaskan sukses selalu rs petrokimia gresik,terima kasih rumah sakit petrokimia gresik pelayanan sangat memuaskan sukses selalu rumah sakit petrokimia gresik,terima kasih rumah sakit petrokimia gresik pelayanan memuaskan sukses selalu rumah sakit petrokimia gresik,Pelayanan,Negatif,0.9814
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Sutrisno Sutrisno,5,2026-07-18T02:54:28.973Z,Terimakasih atas respon cepat utk rescheduling kontrol di poli spesialis.,terimakasih atas respon cepat utk rescheduling kontrol di poli spesialis,terimakasih atas respon cepat untuk rescheduling kontrol di poli spesialis,terimakasih atas respon cepat rescheduling kontrol poli spesialis,Pelayanan,Netral,0.9897
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Mia Miu,5,2026-07-17T16:17:33.829Z,"Pelayanan nya sangat memuaskan, wa ke pelanggan pasien di bls dengan cepat. Perawat, pegawai, dokternya sangat sabar dan baik hati. Saya berobat di sini selama 3 thn sangat terbantu dan blm pernah kecewa. Semoga kedepan nya semakin baik lagi. Terima kasih.",pelayanan nya sangat memuaskan wa ke pelanggan pasien di bls dengan cepat perawat pegawai dokternya sangat sabar dan baik hati saya berobat di sini selama thn sangat terbantu dan blm pernah kecewa semoga kedepan nya semakin baik lagi terima kasih,pelayanan nya sangat memuaskan wa ke pelanggan pasien di bls dengan cepat perawat pegawai dokternya sangat sabar dan baik hati saya berobat di sini selama thn sangat terbantu dan belum pernah kecewa semoga kedepan nya semakin baik lagi terima kasih,pelayanan memuaskan wa pelanggan pasien bls cepat perawat pegawai dokternya sabar baik hati berobat sini selama thn terbantu pernah kecewa semoga kedepan semakin baik terima kasih,Pelayanan,Negatif,0.9062
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Nurul Fauziah,5,2026-07-17T08:54:59.399Z,Pelayanan juara!,pelayanan juara,pelayanan juara,pelayanan juara,Pelayanan,Negatif,0.9951
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,mchmmd syafii,5,2026-07-17T02:12:19.599Z,pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Negatif,0.9969
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,HANZ Family,5,2026-07-16T10:32:53.871Z,"Pelayanan ranap nya baik sekali, ramah dan sabar menghadapi anak saya yg sekecil ini 🫶🏻",pelayanan ranap nya baik sekali ramah dan sabar menghadapi anak saya yg sekecil ini,pelayanan ranap nya baik sekali ramah dan sabar menghadapi anak saya yang sekecil ini,pelayanan ranap baik ramah sabar menghadapi anak sekecil,Pelayanan,Negatif,0.9883
Kesehatan,Rumah Sakit Petrokimia Gresik,4.8,4765,Javanese Boy,5,2026-07-16T04:24:21.454Z,"Sangat bagus, bersih , wangi. Yang paling utama dokternya ramaaaaah sangat informatif, staffnya jg sangat baik. Terbaikkk lah abyakta. Joss",sangat bagus bersih wangi yang paling utama dokternya ramaaaaah sangat informatif staffnya jg sangat baik terbaikkk lah abyakta joss,sangat bagus bersih wangi yang paling utama dokternya ramaaaaah sangat informatif staffnya juga sangat baik terbaikkk lah abyakta joss,bagus bersih wangi paling utama dokternya ramaaaaah informatif staffnya baik terbaikkk abyakta joss,Fasilitas,Negatif,0.9972
