Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pelayanan Publik,SAMSAT Gresik,4,2081,Alora Gautama,1,2026-08-04T03:35:05.586Z,"Bisa ga sih gaada bintang? Ini pelayanan lemot sekali. Malah dibanyakin satpam tapi kelewas-kelewos, kakean guyon, bergerumbul. Yang penting tim yang gesek pak. Rakyat juga butuh pelayanan yang pasti bukan malah suru tunggu tunggu aja.",bisa ga sih gaada bintang ini pelayanan lemot sekali malah dibanyakin satpam tapi kelewas kelewos kakean guyon bergerumbul yang penting tim yang gesek pak rakyat juga butuh pelayanan yang pasti bukan malah suru tunggu tunggu aja,bisa tidak sih gaada bintang ini pelayanan lemot sekali malah dibanyakin satpam tapi kelewas kelewos kakean guyon bergerumbul yang penting tim yang gesek pak rakyat juga butuh pelayanan yang pasti bukan malah suru tunggu tunggu aja,gaada bintang pelayanan lemot malah dibanyakin satpam kelewas kelewos kakean guyon bergerumbul penting tim gesek pak rakyat butuh pelayanan pasti bukan malah suru tunggu tunggu aja,Pelayanan,Negatif,0.9937
Pelayanan Publik,SAMSAT Gresik,4,2081,Sapta Handoko,3,2026-08-03T04:52:08.243Z,Kecepatan pelayanan perlu ditambah. Proses mutasi keluar lebih dari 3jam. Itu saja masukannya. Terimakasih,kecepatan pelayanan perlu ditambah proses mutasi keluar lebih dari 3jam itu saja masukannya terimakasih,kecepatan pelayanan perlu ditambah proses mutasi keluar lebih dari 3jam itu saja masukannya terimakasih,kecepatan pelayanan perlu ditambah proses mutasi keluar 3jam saja masukannya terimakasih,Pelayanan,Netral,0.9802
Pelayanan Publik,SAMSAT Gresik,4,2081,hebi hime,5,2026-08-01T09:49:25.460Z,"hari ini selesai urus pajak 5 tahunan untuk kendaraan roda 4, ga nyangka pelayanan jauh lebih cepat, terarah dan sistematis  sebelumnya security yg stanby diarea cek fisik jumlahnya sangat terbatas tapi sekarang sudah ditambah cukup banyak jadi ga bingung kalo mau nanya-nanya  cek fisik juga jauh lebih cepat karna petugasnya ditambah untuk kendaraan roda 4, setelah isi formulir cukup stanby diarea parkir mobil kita dan mempersiapkan kap mobil supaya mempermudah petugas cek fisik  nunggu lama hanya dibagian pembayaran tapi karena nunggunya di dalam ruangan ber ac jadi lebih nyaman datang jam 8 kurang jam 10.30 sudah keluar dengan STNK dan TNKB baru mantap deh perkembangannya👍",hari ini selesai urus pajak tahunan untuk kendaraan roda ga nyangka pelayanan jauh lebih cepat terarah dan sistematis sebelumnya security yg stanby diarea cek fisik jumlahnya sangat terbatas tapi sekarang sudah ditambah cukup banyak jadi ga bingung kalo mau nanya nanya cek fisik juga jauh lebih cepat karna petugasnya ditambah untuk kendaraan roda setelah isi formulir cukup stanby diarea parkir mobil kita dan mempersiapkan kap mobil supaya mempermudah petugas cek fisik nunggu lama hanya dibagian pembayaran tapi karena nunggunya di dalam ruangan ber ac jadi lebih nyaman datang jam kurang jam sudah keluar dengan stnk dan tnkb baru mantap deh perkembangannya,hari ini selesai urus pajak tahunan untuk kendaraan roda tidak nyangka pelayanan jauh lebih cepat terarah dan sistematis sebelumnya security yang stanby diarea cek fisik jumlahnya sangat terbatas tapi sekarang sudah ditambah cukup banyak jadi tidak bingung kalo mau nanya nanya cek fisik juga jauh lebih cepat karna petugasnya ditambah untuk kendaraan roda setelah isi formulir cukup stanby diarea parkir mobil kita dan mempersiapkan kap mobil supaya mempermudah petugas cek fisik nunggu lama hanya dibagian pembayaran tapi karena nunggunya di dalam ruangan ber ac jadi lebih nyaman datang jam kurang jam sudah keluar dengan stnk dan tnkb baru bagus deh perkembangannya,hari selesai urus pajak tahunan kendaraan roda nyangka pelayanan jauh cepat terarah sistematis sebelumnya security stanby diarea cek fisik jumlahnya terbatas sekarang ditambah cukup banyak jadi bingung kalo mau nanya nanya cek fisik jauh cepat karna petugasnya ditambah kendaraan roda isi formulir cukup stanby diarea parkir mobil mempersiapkan kap mobil supaya mempermudah petugas cek fisik nunggu lama hanya dibagian pembayaran nunggunya ruangan ber ac jadi nyaman datang jam kurang jam keluar stnk tnkb bagus perkembangannya,Pelayanan,Positif,0.9328
Pelayanan Publik,SAMSAT Gresik,4,2081,Falasif las,4,2026-07-28T07:47:49.395Z,"Ambil BPKB sertakan KTP dan STNK asli,minta surat kuasa dari pemilik KTP asli Syarat yg ditulis kurang lengkap, Nb;pengurusan seperti nggak sesuai visi misi(mudah),mungkin kebanyakan orang GK bayar pajak karena pengurusannya tidak dipermudah,",ambil bpkb sertakan ktp dan stnk asli minta surat kuasa dari pemilik ktp asli syarat yg ditulis kurang lengkap nb pengurusan seperti nggak sesuai visi misi mudah mungkin kebanyakan orang gk bayar pajak karena pengurusannya tidak dipermudah,ambil bpkb sertakan ktp dan stnk asli minta surat kuasa dari pemilik ktp asli syarat yang ditulis kurang lengkap nb pengurusan seperti tidak sesuai visi misi mudah mungkin kebanyakan orang tidak bayar pajak karena pengurusannya tidak dipermudah,ambil bpkb sertakan ktp stnk asli minta surat kuasa pemilik ktp asli syarat ditulis kurang lengkap nb pengurusan seperti sesuai visi misi mudah mungkin kebanyakan orang bayar pajak pengurusannya dipermudah,Administrasi,Netral,0.8619
Pelayanan Publik,SAMSAT Gresik,4,2081,BELTLICHIN,5,2026-07-27T19:21:43.516Z,Ramai dan antri berjam jam,ramai dan antri berjam jam,ramai dan antrian berjam jam,ramai antrian berjam jam,Pelayanan,Positif,0.9881
Pelayanan Publik,SAMSAT Gresik,4,2081,Yurikokirana Budianto,5,2026-07-24T03:03:07.434Z,Trimahkasih samsat gresik atas pelayanannya dgn baik,trimahkasih samsat gresik atas pelayanannya dgn baik,trimahkasih samsat gresik atas pelayanannya dengan baik,trimahkasih samsat gresik atas pelayanannya baik,Pelayanan,Positif,0.9577
Pelayanan Publik,SAMSAT Gresik,4,2081,Savira Aprilia,5,2026-07-24T02:34:20.893Z,pelayanan nya cepat sangat membantu bagi yanh pertana kali melakukan pengurusan pajak dll kerenn,pelayanan nya cepat sangat membantu bagi yanh pertana kali melakukan pengurusan pajak dll kerenn,pelayanan nya cepat sangat membantu bagi yanh pertana kali melakukan pengurusan pajak dll kerenn,pelayanan cepat membantu bagi yanh pertana kali melakukan pengurusan pajak dll kerenn,Pelayanan,Positif,0.994
Pelayanan Publik,SAMSAT Gresik,4,2081,Farah Mursyidah,5,2026-07-24T02:29:08.833Z,Pelayanan nya cukup cepat👍,pelayanan nya cukup cepat,pelayanan nya cukup cepat,pelayanan cukup cepat,Pelayanan,Positif,0.9925
Pelayanan Publik,SAMSAT Gresik,4,2081,Mamat Kopler,4,2026-07-24T02:26:51.760Z,sangat bagus,sangat bagus,sangat bagus,bagus,Lainnya,Positif,0.9961
Pelayanan Publik,SAMSAT Gresik,4,2081,harist Lesmana,5,2026-07-23T09:23:45.589Z,Ganti Plat nomor atau mengurus 5 Tahunan .... pelayanan Cepat ramah dan bersih ..... Terimakasih SAMSAT GRESIK,ganti plat nomor atau mengurus tahunan pelayanan cepat ramah dan bersih terimakasih samsat gresik,ganti plat nomor atau mengurus tahunan pelayanan cepat ramah dan bersih terimakasih samsat gresik,ganti plat nomor mengurus tahunan pelayanan cepat ramah bersih terimakasih samsat gresik,Pelayanan,Positif,0.9055
