Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Suhar Soyo,5,2026-08-20T03:07:14.563Z,Keselamatan utama dari tujuan kami,keselamatan utama dari tujuan kami,keselamatan utama dari tujuan kami,keselamatan utama tujuan,Lainnya,Positif,0.8473
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Raffi d_8,5,2026-08-20T03:06:46.570Z,sangat baik dann sangat mengedukasi untuk pengendara bermotor di jalan,sangat baik dann sangat mengedukasi untuk pengendara bermotor di jalan,sangat baik dann sangat mengedukasi untuk pengendara bermotor di jalan,baik dann mengedukasi pengendara bermotor jalan,Infrastruktur,Positif,0.6014
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Izzul Wafie,4,2026-08-20T03:06:42.272Z,"Bagus, dan sekarang dipermudah namun kalo bisa satu orang praktek dalam 1 hari diberi kesempatan 3x , mantap",bagus dan sekarang dipermudah namun kalo bisa satu orang praktek dalam hari diberi kesempatan 3x mantap,bagus dan sekarang dipermudah namun kalo bisa satu orang praktek dalam hari diberi kesempatan 3x bagus,bagus sekarang dipermudah kalo satu orang praktek hari diberi kesempatan 3x bagus,Lainnya,Positif,0.9632
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Alby Naufal,5,2026-08-20T03:06:40.999Z,Persedur,persedur,persedur,persedur,Lainnya,Positif,0.9735
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,25. Putri Dwi Septy Pratiwi,5,2026-08-20T03:06:32.847Z,Memberikan pelayanan terbaikk untuk edukasi dll,memberikan pelayanan terbaikk untuk edukasi dll,memberikan pelayanan terbaikk untuk edukasi dll,memberikan pelayanan terbaikk edukasi dll,Pelayanan,Positif,0.9644
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Nizza Cantika,5,2026-08-20T03:06:22.437Z,pelayanan ramah,pelayanan ramah,pelayanan ramah,pelayanan ramah,Pelayanan,Positif,0.996
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Chelvin Saputra,5,2026-08-19T02:57:43.248Z,"Pelayanan bagus cepat, Makasih satpas gresik",pelayanan bagus cepat makasih satpas gresik,pelayanan bagus cepat makasih satpas gresik,pelayanan bagus cepat makasih satpas gresik,Pelayanan,Positif,0.9934
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Frisca Nadiya,5,2026-08-19T02:57:37.651Z,"satlantas SIM Gresik pelayanannya baik, ramah",satlantas sim gresik pelayanannya baik ramah,satlantas sim gresik pelayanannya baik ramah,satlantas sim gresik pelayanannya baik ramah,Pelayanan,Positif,0.9648
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Rohid Taqiyudin,5,2026-08-19T02:57:36.932Z,pelayanan bagus & petugas sangat ramahh,pelayanan bagus petugas sangat ramahh,pelayanan bagus petugas sangat ramahh,pelayanan bagus petugas ramahh,Pelayanan,Positif,0.9966
Pemerintahan,Instansi Vertikal,SATPAS SIM Gresik,4.8,2922,Muhamad fatih Arrusydi,5,2026-08-19T02:57:36.449Z,Pelayanannyaa baguss poll..sangat edikutif anjay,pelayanannyaa baguss poll sangat edikutif anjay,pelayanannyaa baguss poll sangat edikutif anjay,pelayanannyaa baguss poll edikutif anjay,Pelayanan,Positif,0.9955
