Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Meilisa Dwi Ervinda,5,2026-07-11T12:15:43.600Z,Acara sore bareng komunitas dan liat senja seru bangett,acara sore bareng komunitas dan liat senja seru bangett,acara sore bareng komunitas dan liat senja seru bangett,acara sore bareng komunitas liat senja seru bangett,Fasilitas,Positif,0.9951
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Wahyu Tri Prasetiya,5,2026-07-11T07:43:59.705Z,"Tempat favorite anak Unika Soegijapranata ( SCU) termasuk para alumninya bernostalgia, HargaMahasiswa/i ,rasa luar biasa,ukurangnya besar dan harga 1rban. Pokoknya mantap teman",tempat favorite anak unika soegijapranata scu termasuk para alumninya bernostalgia hargamahasiswa i rasa luar biasa ukurangnya besar dan harga 1rban pokoknya mantap teman,tempat favorite anak unika soegijapranata scu termasuk para alumninya bernostalgia hargamahasiswa i rasa luar biasa ukurangnya besar dan harga 1rban pokoknya bagus teman,tempat favorite anak unika soegijapranata scu termasuk para alumninya bernostalgia hargamahasiswa rasa luar biasa ukurangnya besar harga 1rban pokoknya bagus teman,Administrasi,Positif,0.9981
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,toyib toyiban,5,2026-06-26T00:39:58.275Z,Sepi tapi nggak angker loh...,sepi tapi nggak angker loh,sepi tapi tidak angker loh,sepi angker loh,Lainnya,Positif,0.9957
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Mardianto Aribowo,5,2026-06-20T00:12:57.566Z,Suasana adem tenang,suasana adem tenang,suasana adem tenang,suasana adem tenang,Lainnya,Positif,0.9965
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Bomantoro Atmadja,5,2026-06-03T09:13:11.011Z,"Tempat yang bersejarah bagi kerajaan Giri, posisi tempat teratas sehingga bisa melihat seluruh penjuru",tempat yang bersejarah bagi kerajaan giri posisi tempat teratas sehingga bisa melihat seluruh penjuru,tempat yang bersejarah bagi kerajaan giri posisi tempat teratas sehingga bisa melihat seluruh penjuru,tempat bersejarah bagi kerajaan giri posisi tempat teratas sehingga melihat seluruh penjuru,Lainnya,Positif,0.7917
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,farisi nurdin,5,2026-05-31T07:43:04.090Z,"Situs bersejarah kota Gresik dimana area keraton Giri (Giri Kedaton) zaman dulu sempat berjaya dan berdiri megah di area ini, sekarang menjadi kawasan industri dan pergudangan serta area perumahan.",situs bersejarah kota gresik dimana area keraton giri giri kedaton zaman dulu sempat berjaya dan berdiri megah di area ini sekarang menjadi kawasan industri dan pergudangan serta area perumahan,situs bersejarah kota gresik dimana area keraton giri giri kedaton zaman dulu sempat berjaya dan berdiri megah di area ini sekarang menjadi kawasan industri dan pergudangan serta area perumahan,situs bersejarah kota gresik dimana area keraton giri giri kedaton zaman dulu sempat berjaya berdiri megah area sekarang menjadi kawasan industri pergudangan serta area perumahan,Keamanan,Positif,0.9707
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Arsyil Bukhori,5,2026-05-24T17:58:42.993Z,"Bismillah,,,, pnggenan yg sangat ampuh(membantu untuk ketenangan hati jiwa n raga  di bantu suasana yg bikin shahdu",bismillah pnggenan yg sangat ampuh membantu untuk ketenangan hati jiwa n raga di bantu suasana yg bikin shahdu,bismillah pnggenan yang sangat ampuh membantu untuk ketenangan hati jiwa n raga di bantu suasana yang bikin shahdu,bismillah pnggenan ampuh membantu ketenangan hati jiwa raga bantu suasana bikin shahdu,Lainnya,Positif,0.9899
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Erwin PR,5,2026-05-24T07:46:57.905Z,Perjuangan untuk naik tangga,perjuangan untuk naik tangga,perjuangan untuk naik tangga,perjuangan naik tangga,Infrastruktur,Positif,0.9763
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Kita Dolan,5,2026-05-02T16:09:16.665Z,"Warisan Budaya, Sejarah & Keindahan Bukit Giri Kedaton Gresik (Update 2026)",warisan budaya sejarah keindahan bukit giri kedaton gresik update,warisan budaya sejarah keindahan bukit giri kedaton gresik update,warisan budaya sejarah keindahan bukit giri kedaton gresik update,Lainnya,Positif,0.7891
Wisata,Situs Giri Kedaton & Makam Raden Supeno,4.6,956,Bekamers Sumenep,5,2026-04-12T08:04:28.005Z,Menenangkan,menenangkan,menenangkan,menenangkan,Lainnya,Positif,0.995
