Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Feri By15,5,2026-07-03T16:14:45.885Z,Poseeeng,poseeeng,poseeeng,poseeeng,Lainnya,Negatif,0.9907
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Mobile legends,5,2026-06-20T00:51:10.402Z,saya sebagai alumni SMK AlL MASYHUDIYAH  saya sangat bangga soalnya bisa ketemu guru yang cantik-cantik dan ramah kepada siswanya dan pembelajaran nya sangat baik ilmu yang di berikan kepada ibu bapak guru sangat bermanfaat dan bisa di fahami intinya sangat enak lah,saya sebagai alumni smk all masyhudiyah saya sangat bangga soalnya bisa ketemu guru yang cantik cantik dan ramah kepada siswanya dan pembelajaran nya sangat baik ilmu yang di berikan kepada ibu bapak guru sangat bermanfaat dan bisa di fahami intinya sangat enak lah,saya sebagai alumni smk all masyhudiyah saya sangat bangga soalnya bisa ketemu guru yang cantik cantik dan ramah kepada siswanya dan pembelajaran nya sangat baik ilmu yang di berikan kepada ibu bapak guru sangat bermanfaat dan bisa di fahami intinya sangat enak lah,sebagai alumni smk all masyhudiyah bangga soalnya ketemu guru cantik cantik ramah kepada siswanya pembelajaran baik ilmu berikan kepada ibu bapak guru bermanfaat fahami intinya enak,Pelayanan,Negatif,0.9968
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,face joker,5,2026-05-21T03:16:15.678Z,"Saya adalah alumni SMK ALMASYHUDIYAH saya merekomendasikan untuk para siswa siswi yang baru lulus, untuk daftar di SMK ALMASYHUDIYAH karena SMK ALMASYHUDIYAH memiliki pendidikan, sarana, dan proses pembelajaran yang sangat baik. Dan memiliki jurusan terbaik yaitu DKV cocok untuk kalian yang mau belajar desain dan video grafi.  ayo Guys!!",saya adalah alumni smk almasyhudiyah saya merekomendasikan untuk para siswa siswi yang baru lulus untuk daftar di smk almasyhudiyah karena smk almasyhudiyah memiliki pendidikan sarana dan proses pembelajaran yang sangat baik dan memiliki jurusan terbaik yaitu dkv cocok untuk kalian yang mau belajar desain dan video grafi ayo guys,saya adalah alumni smk almasyhudiyah saya merekomendasikan untuk para siswa siswi yang baru lulus untuk daftar di smk almasyhudiyah karena smk almasyhudiyah memiliki pendidikan sarana dan proses pembelajaran yang sangat baik dan memiliki jurusan terbaik yaitu dkv cocok untuk kalian yang mau belajar desain dan video grafi ayo guys,alumni smk almasyhudiyah merekomendasikan para siswa siswi lulus daftar smk almasyhudiyah smk almasyhudiyah memiliki pendidikan sarana proses pembelajaran baik memiliki jurusan terbaik yaitu dkv cocok kalian mau belajar desain video grafi ayo guys,Lainnya,Negatif,0.8607
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Bank thitil,5,2026-05-19T03:55:42.316Z,"Saya alumni sini, gelo.. pokoknya mah gokil dah sekolah disini",saya alumni sini gelo pokoknya mah gokil dah sekolah disini,saya alumni sini gelo pokoknya mah gokil dah sekolah disini,alumni sini gelo pokoknya mah gokil dah sekolah disini,Lainnya,Negatif,0.9783
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,akanghasan,5,2026-05-18T04:38:37.089Z,"sistem pembelajaran DKV di sekolah ini sangat berbasis proyek (project-based learning). guru guru produktif tidak hanya mengajarkan teori, tetapi juga membimbing siswa dalam membangun portofolio profesional. hal ini membuat lulusannya sangat siap bersaing di agensi periklanan, studio animasi, maupun industri kreatif lainnya.",sistem pembelajaran dkv di sekolah ini sangat berbasis proyek project based learning guru guru produktif tidak hanya mengajarkan teori tetapi juga membimbing siswa dalam membangun portofolio profesional hal ini membuat lulusannya sangat siap bersaing di agensi periklanan studio animasi maupun industri kreatif lainnya,sistem pembelajaran dkv di sekolah ini sangat berbasis proyek project based learning guru guru produktif tidak hanya mengajarkan teori tetapi juga membimbing siswa dalam membangun portofolio profesional hal ini membuat lulusannya sangat siap bersaing di agensi periklanan studio animasi maupun industri kreatif lainnya,sistem pembelajaran dkv sekolah berbasis proyek project based learning guru guru produktif hanya mengajarkan teori membimbing siswa membangun portofolio profesional hal membuat lulusannya siap bersaing agensi periklanan studio animasi maupun industri kreatif lainnya,Lainnya,Netral,0.6734
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Dito Ramadhan,5,2026-05-18T03:55:00.321Z,"di smk almasyhudiyah saya mendapat hal yang ga saya dapat di skolah umum biasanyaa, seperti kekeluargaan, dan hal yang lain, smoga smk almasyhudiyah tetap berkembang dan menjadi skolah favorit😜😜😜",di smk almasyhudiyah saya mendapat hal yang ga saya dapat di skolah umum biasanyaa seperti kekeluargaan dan hal yang lain smoga smk almasyhudiyah tetap berkembang dan menjadi skolah favorit,di smk almasyhudiyah saya mendapat hal yang tidak saya dapat di skolah umum biasanyaa seperti kekeluargaan dan hal yang lain smoga smk almasyhudiyah tetap berkembang dan menjadi skolah favorit,smk almasyhudiyah mendapat hal skolah umum biasanyaa seperti kekeluargaan hal lain smoga smk almasyhudiyah tetap berkembang menjadi skolah favorit,Lainnya,Negatif,0.9759
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Azizah Ni'mah,5,2026-05-18T03:52:46.543Z,"Sekolah ini tidak hanya fokus pada nilai akademik, tetapi juga sangat memperhatikan pembentukan karakter dan akhlak. ✨Fasilitas belajarnya lengkap, lingkungan sekolah bersih dan aman, serta guru-gurunya sangat sabar dan komunikatif dengan orang tua.🥰 Menjadi bagian dari sekolah ini adalah salah satu pengalaman terbaik dalam hidup saya. Dan karna sekolah ini saya bisa magang di citraland dan karna sekolah ini saya bisa kuliah dan bergabung di Unesa. 💕  untuk kalian segera gabung ke SMK Al Masyhudiyah, sekolah yang sangat amanah dan membangun generasi yang bermanfaat 😘",sekolah ini tidak hanya fokus pada nilai akademik tetapi juga sangat memperhatikan pembentukan karakter dan akhlak fasilitas belajarnya lengkap lingkungan sekolah bersih dan aman serta guru gurunya sangat sabar dan komunikatif dengan orang tua menjadi bagian dari sekolah ini adalah salah satu pengalaman terbaik dalam hidup saya dan karna sekolah ini saya bisa magang di citraland dan karna sekolah ini saya bisa kuliah dan bergabung di unesa untuk kalian segera gabung ke smk al masyhudiyah sekolah yang sangat amanah dan membangun generasi yang bermanfaat,sekolah ini tidak hanya fokus pada nilai akademik tetapi juga sangat memperhatikan pembentukan karakter dan akhlak fasilitas belajarnya lengkap lingkungan sekolah bersih dan aman serta guru gurunya sangat sabar dan komunikatif dengan orang tua menjadi bagian dari sekolah ini adalah salah satu pengalaman terbaik dalam hidup saya dan karna sekolah ini saya bisa magang di citraland dan karna sekolah ini saya bisa kuliah dan bergabung di unesa untuk kalian segera gabung ke smk al masyhudiyah sekolah yang sangat amanah dan membangun generasi yang bermanfaat,sekolah hanya fokus nilai akademik memperhatikan pembentukan karakter akhlak fasilitas belajarnya lengkap lingkungan sekolah bersih aman serta guru gurunya sabar komunikatif orang tua menjadi bagian sekolah salah satu pengalaman terbaik hidup karna sekolah magang citraland karna sekolah kuliah bergabung unesa kalian segera gabung smk al masyhudiyah sekolah amanah membangun generasi bermanfaat,Fasilitas,Negatif,0.9894
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Indra Saputra,5,2026-05-18T03:51:11.130Z,"Sebagai alumni SMK Al Masyhudiyah, saya sangat bangga pernah menimba ilmu di sini. Sekolah ini memiliki fasilitas yang memadai untuk mendukung kegiatan belajar mengajar dan praktik kejuruan. Guru-gurunya sangat kompeten, sabar, dan profesional dalam mendidik siswa agar siap menghadapi dunia kerja maupun melanjutkan pendidikan. Sangat direkomendasikan!",sebagai alumni smk al masyhudiyah saya sangat bangga pernah menimba ilmu di sini sekolah ini memiliki fasilitas yang memadai untuk mendukung kegiatan belajar mengajar dan praktik kejuruan guru gurunya sangat kompeten sabar dan profesional dalam mendidik siswa agar siap menghadapi dunia kerja maupun melanjutkan pendidikan sangat direkomendasikan,sebagai alumni smk al masyhudiyah saya sangat bangga pernah menimba ilmu di sini sekolah ini memiliki fasilitas yang memadai untuk mendukung kegiatan belajar mengajar dan praktik kejuruan guru gurunya sangat kompeten sabar dan profesional dalam mendidik siswa agar siap menghadapi dunia kerja maupun melanjutkan pendidikan sangat direkomendasikan,sebagai alumni smk al masyhudiyah bangga pernah menimba ilmu sini sekolah memiliki fasilitas memadai mendukung kegiatan belajar mengajar praktik kejuruan guru gurunya kompeten sabar profesional mendidik siswa agar siap menghadapi dunia kerja maupun melanjutkan pendidikan direkomendasikan,Fasilitas,Negatif,0.9911
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Gizca Aulia,5,2026-05-18T03:47:26.714Z,Menjadi bagian dari sekolah ini adalah salah satu momen terbaik dalam hidup saya❤️❤️,menjadi bagian dari sekolah ini adalah salah satu momen terbaik dalam hidup saya,menjadi bagian dari sekolah ini adalah salah satu momen terbaik dalam hidup saya,menjadi bagian sekolah salah satu momen terbaik hidup,Lainnya,Negatif,0.9606
Pendidikan,SMK AL MASYHUDIYAH DRIYOREJO,4.9,35,Novian Wonogiri,5,2025-07-27T20:08:28.964Z,Nice,nice,nice,nice,Lainnya,Negatif,0.9923
