Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,SMK Islamic Qon,4.8,54,Nur Fangki,5,2026-05-23T09:45:59.497Z,Alhamdulillah Terbaik,alhamdulillah terbaik,alhamdulillah terbaik,alhamdulillah terbaik,Lainnya,Negatif,0.9937
Pendidikan,SMK Islamic Qon,4.8,54,faza nuzulia furqoni,5,2025-11-17T09:14:40.069Z,Anak saya menjadi lebih sregep ibadahnya sejak sekolah di sini,anak saya menjadi lebih sregep ibadahnya sejak sekolah di sini,anak saya menjadi lebih sregep ibadahnya sejak sekolah di sini,anak menjadi sregep ibadahnya sejak sekolah sini,Lainnya,Negatif,0.9531
Pendidikan,SMK Islamic Qon,4.8,54,Nawal Pou,4,2024-06-18T05:33:25.924Z,Seru,seru,seru,seru,Lainnya,Negatif,0.997
Pendidikan,SMK Islamic Qon,4.8,54,Abdul Jalil,5,2024-05-12T15:52:43.533Z,Menarikk!,menarikk,menarikk,menarikk,Administrasi,Negatif,0.9956
Pendidikan,SMK Islamic Qon,4.8,54,Abdul Fatakh,5,2024-01-17T00:45:46.362Z,Terbaik.....!,terbaik,terbaik,terbaik,Lainnya,Negatif,0.996
Pendidikan,SMK Islamic Qon,4.8,54,Aris Doyok,5,2023-10-21T02:09:56.944Z,Terakreditasi A 👍⭐⭐,terakreditasi a,terakreditasi a,terakreditasi,Lainnya,Negatif,0.8858
Pendidikan,SMK Islamic Qon,4.8,54,Rizqi Maulida,5,2023-01-14T11:01:04.827Z,Fasilitas praktek otomotifnya juga lengkap. Joss,fasilitas praktek otomotifnya juga lengkap joss,fasilitas praktek otomotifnya juga lengkap joss,fasilitas praktek otomotifnya lengkap joss,Fasilitas,Negatif,0.9962
Pendidikan,SMK Islamic Qon,4.8,54,Jihan Tsabitul Azmi,5,2023-01-13T04:19:29.210Z,This school is awesome! I hope to continue to be successful in the future.,this school is awesome i hope to continue to be successful in the future,this school is awesome i hope to continue to be successful in the future,this school is awesome hope to continue to be successful in the future,Lainnya,Negatif,0.7946
Pendidikan,SMK Islamic Qon,4.8,54,Gus Malik Imam Sholahuddin,5,2023-01-13T02:18:31.809Z,"Sangat direkomendasikan! Sekolah kejuruan yang menanamkan nilai pesantren, berada di kawasan industri dan ekonomi, ada jurusan Teknik Kendaraan Ringan, Akuntansi dan Teknik Elektronika Industri. Biaya relatif murah dan terjangkau! 👍👍👍",sangat direkomendasikan sekolah kejuruan yang menanamkan nilai pesantren berada di kawasan industri dan ekonomi ada jurusan teknik kendaraan ringan akuntansi dan teknik elektronika industri biaya relatif murah dan terjangkau,sangat direkomendasikan sekolah kejuruan yang menanamkan nilai pesantren berada di kawasan industri dan ekonomi ada jurusan teknik kendaraan ringan akuntansi dan teknik elektronika industri biaya relatif murah dan terjangkau,direkomendasikan sekolah kejuruan menanamkan nilai pesantren berada kawasan industri ekonomi jurusan teknik kendaraan ringan akuntansi teknik elektronika industri biaya relatif murah terjangkau,Administrasi,Negatif,0.9845
Pendidikan,SMK Islamic Qon,4.8,54,nurul aini,5,2023-01-13T01:59:51.449Z,"Salah satu Sekolah SMK yg berbasic Pondok pesantren, beprestasi, Agama oke pendidikan oke",salah satu sekolah smk yg berbasic pondok pesantren beprestasi agama oke pendidikan oke,salah satu sekolah smk yang berbasic pondok pesantren beprestasi agama oke pendidikan oke,salah satu sekolah smk berbasic pondok pesantren beprestasi agama oke pendidikan oke,Lainnya,Netral,0.6244
Pendidikan,SMK Islamic Qon,4.8,54,Titik Wati,5,2023-01-13T01:52:26.346Z,Alhamdulillah di SMK Iqon tambah satu jurusan lagi jurusanTEI,alhamdulillah di smk iqon tambah satu jurusan lagi jurusantei,alhamdulillah di smk iqon tambah satu jurusan lagi jurusantei,alhamdulillah smk iqon tambah satu jurusan jurusantei,Lainnya,Negatif,0.7592
Pendidikan,SMK Islamic Qon,4.8,54,Devi Listiani,5,2023-01-13T01:21:40.564Z,"Sekolah nya islamic ada kajian"" Islamnya guru"" Nya baik banget",sekolah nya islamic ada kajian islamnya guru nya baik banget,sekolah nya islamic ada kajian islamnya guru nya baik banget,sekolah islamic kajian islamnya guru baik banget,Lainnya,Negatif,0.9953
Pendidikan,SMK Islamic Qon,4.8,54,Riska Maulidiana29,5,2023-01-12T21:56:10.139Z,Sekolah SMK Islamic Qon adalah sekolah islami terbaik di Gresik. Saya bangga menjadi bagian dari SMK Islamic Qon. Di SMK Islamic Qon saya bisa mendalami ilmu agama saya lebih baik lagi.,sekolah smk islamic qon adalah sekolah islami terbaik di gresik saya bangga menjadi bagian dari smk islamic qon di smk islamic qon saya bisa mendalami ilmu agama saya lebih baik lagi,sekolah smk islamic qon adalah sekolah islami terbaik di gresik saya bangga menjadi bagian dari smk islamic qon di smk islamic qon saya bisa mendalami ilmu agama saya lebih baik lagi,sekolah smk islamic qon sekolah islami terbaik gresik bangga menjadi bagian smk islamic qon smk islamic qon mendalami ilmu agama baik,Lainnya,Negatif,0.9804
Pendidikan,SMK Islamic Qon,4.8,54,Dewi rahmawati Putri,5,2023-01-12T14:20:07.815Z,"Smk Islamic Qon memang paling yang terbaik, bangga menjadi bagian dari sekolah ini.",smk islamic qon memang paling yang terbaik bangga menjadi bagian dari sekolah ini,smk islamic qon memang paling yang terbaik bangga menjadi bagian dari sekolah ini,smk islamic qon memang paling terbaik bangga menjadi bagian sekolah,Lainnya,Negatif,0.9917
Pendidikan,SMK Islamic Qon,4.8,54,Lusi Amaliya,5,2023-01-12T13:57:31.592Z,"SMK berbasis islamic terbaik di Gresik,bangga menjadi bagian SMK Islamic Qon🥰",smk berbasis islamic terbaik di gresik bangga menjadi bagian smk islamic qon,smk berbasis islamic terbaik di gresik bangga menjadi bagian smk islamic qon,smk berbasis islamic terbaik gresik bangga menjadi bagian smk islamic qon,Lainnya,Negatif,0.9504
