Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,Bagus Panji,5,2026-07-04T07:49:50.472Z,Sekolah hebat dengan biaya yang paling murah sedriyorejo tapi menghasilkan lulisan yang unggul,sekolah hebat dengan biaya yang paling murah sedriyorejo tapi menghasilkan lulisan yang unggul,sekolah hebat dengan biaya yang paling murah sedriyorejo tapi menghasilkan lulisan yang unggul,sekolah hebat biaya paling murah sedriyorejo menghasilkan lulisan unggul,Lainnya,Negatif,0.9825
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,hitmen 01,1,2026-06-19T03:49:34.117Z,"Sekolah yang gak support murid nya, mau nya terima jadi murid yg berprestasi. mending cari sekolah agak mahal dikit dari pada sekolah disini. Yang bintang 5 wajib di pertanyakan",sekolah yang gak support murid nya mau nya terima jadi murid yg berprestasi mending cari sekolah agak mahal dikit dari pada sekolah disini yang bintang wajib di pertanyakan,sekolah yang tidak support murid nya mau nya terima jadi murid yang berprestasi mending cari sekolah agak mahal dikit dari pada sekolah disini yang bintang wajib di pertanyakan,sekolah support murid mau terima jadi murid berprestasi mending cari sekolah agak mahal dikit sekolah disini bintang wajib pertanyakan,Lainnya,Positif,0.9931
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,Chylvia Putri,2,2026-05-30T07:52:23.758Z,kok saya dapat panggilan di lokasi ini yaa,kok saya dapat panggilan di lokasi ini yaa,kok saya dapat panggilan di lokasi ini yaa,kok panggilan lokasi yaa,Lainnya,Netral,0.8993
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,Muhamad Jailani,5,2026-05-19T05:10:12.003Z,Tempat menimba ilmu yang tepat karena disini dididik disiplin dan menjadi siswa yg berkepribadian yang baik serta berkualitas....👍,tempat menimba ilmu yang tepat karena disini dididik disiplin dan menjadi siswa yg berkepribadian yang baik serta berkualitas,tempat menimba ilmu yang tepat karena disini dididik disiplin dan menjadi siswa yang berkepribadian yang baik serta berkualitas,tempat menimba ilmu tepat disini dididik disiplin menjadi siswa berkepribadian baik serta berkualitas,Lainnya,Negatif,0.9713
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,Kholifamnuron,4,2026-04-27T11:48:26.194Z,Sekolah yg luar biasa biayah murah dn terbukti setiap lomba sll memboyong trophy sebagai bukti kesuksesannya...!,sekolah yg luar biasa biayah murah dn terbukti setiap lomba sll memboyong trophy sebagai bukti kesuksesannya,sekolah yang luar biasa biayah murah dn terbukti setiap lomba sll memboyong trophy sebagai bukti kesuksesannya,sekolah luar biasa biayah murah dn terbukti setiap lomba sll memboyong trophy sebagai bukti kesuksesannya,Lainnya,Negatif,0.994
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,Naddd Dira,1,2026-04-20T00:46:14.446Z,bauk,bauk,bauk,bauk,Lainnya,Positif,0.9972
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,Fauzi Yahya,5,2025-09-24T02:54:19.036Z,Alumni yg sudah bekerja di bengkel resmi Mitsubishi,alumni yg sudah bekerja di bengkel resmi mitsubishi,alumni yang sudah bekerja di bengkel resmi mitsubishi,alumni bekerja bengkel resmi mitsubishi,Lainnya,Netral,0.9958
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,P A,2,2025-07-07T21:30:45.617Z,Sering ada biaya tambahan yang tidak perlu,sering ada biaya tambahan yang tidak perlu,sering ada biaya tambahan yang tidak perlu,sering biaya tambahan perlu,Lainnya,Netral,0.838
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,GL Tepoz,1,2025-07-07T05:07:35.121Z,tidak pernah ada evaluasi soalnya banyak orang tua yg keberatan soal biaya yang tidak penting,tidak pernah ada evaluasi soalnya banyak orang tua yg keberatan soal biaya yang tidak penting,tidak pernah ada evaluasi soalnya banyak orang tua yang keberatan soal biaya yang tidak penting,pernah evaluasi soalnya banyak orang tua keberatan soal biaya penting,Lainnya,Positif,0.7294
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,fake account,1,2025-06-26T01:20:02.821Z,"khusus untuk siswa sd mending jangan sekolah di mts maarif sini, gurunya pada gak niat ngajar, apalagi guru PKN kasih nilai di sama ratakan satu sekolah, kalo sama rata nilai 90 gapapa, ini di 83 84,dimana letak logika nya bro",khusus untuk siswa sd mending jangan sekolah di mts maarif sini gurunya pada gak niat ngajar apalagi guru pkn kasih nilai di sama ratakan satu sekolah kalo sama rata nilai gapapa ini di dimana letak logika nya bro,khusus untuk siswa sd mending jangan sekolah di mts maarif sini gurunya pada tidak niat ngajar apalagi guru pkn kasih nilai di sama ratakan satu sekolah kalo sama rata nilai gapapa ini di dimana letak logika nya bro,khusus siswa sd mending jangan sekolah mts maarif sini gurunya niat ngajar apalagi guru pkn kasih nilai sama ratakan satu sekolah kalo sama rata nilai gapapa dimana letak logika bro,Lainnya,Positif,0.9616
Pendidikan,SMK Ma'arif NU Driyorejo,4.4,92,khafit ashar,5,2025-06-25T05:01:42.624Z,SMK Bisa,smk bisa,smk bisa,smk,Lainnya,Negatif,0.6244
