Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,SMK Umar Mas'ud,4.6,14,Lala,5,2025-07-29T03:53:08.925Z,Sekolah menengah kejuruan dengan jurusan teknik komputer dan jaringan satu-satunya dibawean👍,sekolah menengah kejuruan dengan jurusan teknik komputer dan jaringan satu satunya dibawean,sekolah menengah kejuruan dengan jurusan teknik komputer dan jaringan satu satunya dibawean,sekolah menengah kejuruan jurusan teknik komputer jaringan satu satunya dibawean,Administrasi,Netral,0.9856
Pendidikan,SMK Umar Mas'ud,4.6,14,ACH JUNAIDI,5,2025-01-15T13:46:01.642Z,Tetap semangat untuk memajukan generasi bangsa,tetap semangat untuk memajukan generasi bangsa,tetap semangat untuk memajukan generasi bangsa,tetap semangat memajukan generasi bangsa,Lainnya,Negatif,0.9657
Pendidikan,SMK Umar Mas'ud,4.6,14,Almaira Azqiara,5,2024-08-03T13:11:48.508Z,Menurut saya Sekolah kejuruan yang populer di kepulauan adalah SMK Umar Mas'ud,menurut saya sekolah kejuruan yang populer di kepulauan adalah smk umar mas ud,menurut saya sekolah kejuruan yang populer di kepulauan adalah smk umar mas ud,menurut sekolah kejuruan populer kepulauan smk umar mas ud,Lainnya,Netral,0.9906
Pendidikan,SMK Umar Mas'ud,4.6,14,Jus Man,5,2023-09-09T03:37:58.414Z,"Umar Mas'ud sebuah lembaga pengagas pendidikan formal pertama d p bawean,dan kami percayakan dua anak kami menimba disini,smg tambah enovatif kreatif aktif,berakhlak,maju SMK Umar Mas'ud.",umar mas ud sebuah lembaga pengagas pendidikan formal pertama d p bawean dan kami percayakan dua anak kami menimba disini smg tambah enovatif kreatif aktif berakhlak maju smk umar mas ud,umar mas ud sebuah lembaga pengagas pendidikan formal pertama d p bawean dan kami percayakan dua anak kami menimba disini smg tambah enovatif kreatif aktif berakhlak maju smk umar mas ud,umar mas ud sebuah lembaga pengagas pendidikan formal pertama bawean percayakan dua anak menimba disini smg tambah enovatif kreatif aktif berakhlak maju smk umar mas ud,Lainnya,Negatif,0.7437
Pendidikan,SMK Umar Mas'ud,4.6,14,Siti Hasanah,5,2023-09-09T01:41:50.386Z,"Pelopor sekolah SMK di pulau Bawean,sebagai sumbangsih PD bangsa ini mencerdaskan generasi bangsa,yayasan penggagas pendidikan Tertua di p.bawean,smg tambah maju",pelopor sekolah smk di pulau bawean sebagai sumbangsih pd bangsa ini mencerdaskan generasi bangsa yayasan penggagas pendidikan tertua di p bawean smg tambah maju,pelopor sekolah smk di pulau bawean sebagai sumbangsih pada bangsa ini mencerdaskan generasi bangsa yayasan penggagas pendidikan tertua di p bawean smg tambah maju,pelopor sekolah smk pulau bawean sebagai sumbangsih bangsa mencerdaskan generasi bangsa yayasan penggagas pendidikan tertua bawean smg tambah maju,Lainnya,Negatif,0.9427
Pendidikan,SMK Umar Mas'ud,4.6,14,Saif Rahman,5,2023-01-27T14:41:27.248Z,Lahan parkir luas di tengah kota,lahan parkir luas di tengah kota,lahan parkir luas di tengah kota,lahan parkir luas tengah kota,Fasilitas,Negatif,0.8174
Pendidikan,SMK Umar Mas'ud,4.6,14,luffy “Mushel” Mugiwara,4,2021-09-13T11:33:00.395Z,Bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Pendidikan,SMK Umar Mas'ud,4.6,14,Raudatul Mahmuda,5,2021-08-06T15:20:55.257Z,Bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Pendidikan,SMK Umar Mas'ud,4.6,14,Aris Munandar,5,2021-02-07T03:15:53.079Z,"Banyak pengalaman yg di dapat. Karana d smk umar mas'ud adalah lembaga pendidikan yg focus menyiapkan siswa yg siap bekerja sekaligus kuliah, selain itu smk umar mas'ud membuat program unggulan seperti TAHFIDZ. EKSTRAKULIKULER. Dan pengembangan IT ( Informasi Dan Teknologi) karana kami kejuruan Teknik Komputer Dan jaringan, untuk lebih luasnya kami tunggu d SMK UM. SMK Bisa..🙏",banyak pengalaman yg di dapat karana d smk umar mas ud adalah lembaga pendidikan yg focus menyiapkan siswa yg siap bekerja sekaligus kuliah selain itu smk umar mas ud membuat program unggulan seperti tahfidz ekstrakulikuler dan pengembangan it informasi dan teknologi karana kami kejuruan teknik komputer dan jaringan untuk lebih luasnya kami tunggu d smk um smk bisa,banyak pengalaman yang di dapat karana d smk umar mas ud adalah lembaga pendidikan yang focus menyiapkan siswa yang siap bekerja sekaligus kuliah selain itu smk umar mas ud membuat program unggulan seperti tahfidz ekstrakulikuler dan pengembangan it informasi dan teknologi karana kami kejuruan teknik komputer dan jaringan untuk lebih luasnya kami tunggu d smk um smk bisa,banyak pengalaman karana smk umar mas ud lembaga pendidikan focus menyiapkan siswa siap bekerja sekaligus kuliah selain smk umar mas ud membuat program unggulan seperti tahfidz ekstrakulikuler pengembangan it informasi teknologi karana kejuruan teknik komputer jaringan luasnya tunggu smk um smk,Administrasi,Negatif,0.5467
Pendidikan,SMK Umar Mas'ud,4.6,14,Ahmad Efendi,5,2020-08-05T10:42:01.412Z,Asyik dan menyenangkan,asyik dan menyenangkan,asyik dan menyenangkan,asyik menyenangkan,Lainnya,Negatif,0.9972
Pendidikan,SMK Umar Mas'ud,4.6,14,Nurhadi,5,2020-07-16T06:10:59.986Z,Mantapp,mantapp,mantapp,mantapp,Lainnya,Negatif,0.9972
Pendidikan,SMK Umar Mas'ud,4.6,14,beku junior,5,2014-04-25T03:56:43.165Z,SMK Bisa!!!,smk bisa,smk bisa,smk,Lainnya,Negatif,0.6244
