Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Ramkumar Menon,5,2026-06-14T21:49:40.139Z,Small peaceful temple,small peaceful temple,small peaceful temple,small peaceful temple,Fasilitas,Negatif,0.957
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Nambi S V,5,2026-06-14T00:28:48.461Z,Namma ooru pillaiyaar! Feel like home,namma ooru pillaiyaar feel like home,namma ooru pillaiyaar feel like home,namma ooru pillaiyaar feel like home,Lainnya,Netral,0.855
Lainnya,Sri Karpaga Ganapathi Temple,5,24,ANBU DESIGNER CHENNAI,5,2026-06-13T15:50:56.226Z,My life is turn out to good things by the blessings of Lord Karpaga Ganapathi... Jai Ganesha,my life is turn out to good things by the blessings of lord karpaga ganapathi jai ganesha,my life is turn out to good things by the blessings of lord karpaga ganapathi jai ganesha,my life is turn out to good things by the blessings of lord karpaga ganapathi jai ganesha,Lainnya,Netral,0.728
Lainnya,Sri Karpaga Ganapathi Temple,5,24,bipin gupta,5,2026-04-09T16:17:28.050Z,There is a very beautiful temple and there is a lot of peace here.,there is a very beautiful temple and there is a lot of peace here,there is a very beautiful temple and there is a lot of peace here,there is very beautiful temple and there is lot of peace here,Fasilitas,Negatif,0.9754
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Dharti S,5,2026-03-20T03:01:43.303Z,Great vibes. The priest is very very welcoming and knowledgeable. These vibes certainly makes us go again and feel connected to temple vibes,great vibes the priest is very very welcoming and knowledgeable these vibes certainly makes us go again and feel connected to temple vibes,great vibes the priest is very very welcoming and knowledgeable these vibes certainly makes us go again and feel connected to temple vibes,great vibes the priest is very very welcoming and knowledgeable these vibes certainly makes us go again and feel connected to temple vibes,Lainnya,Negatif,0.8597
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Prashant Padaganur,5,2026-02-16T08:09:57.809Z,A very blissful experience every time we visit this temple. Priest is very amicable and their poojas look very authentic. Very happy to have my favourite Ganesha temple in San Ramon neighbourhood 🙏🙏.,a very blissful experience every time we visit this temple priest is very amicable and their poojas look very authentic very happy to have my favourite ganesha temple in san ramon neighbourhood,a very blissful experience every time we visit this temple priest is very amicable and their poojas look very authentic very happy to have my favourite ganesha temple in san ramon neighbourhood,very blissful experience every time we visit this temple priest is very amicable and their poojas look very authentic very happy to have my favourite ganesha temple in san ramon neighbourhood,Lainnya,Negatif,0.8777
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Dhanya Narayanan,5,2026-01-21T18:50:04.240Z,Very cute temple with beautiful idols of Lord Ganesha. The priest is very welcoming and knowledgeable and makes you want to visit again and again. Temple also hosts several music events/sevas by local bay area music students and gurus.,very cute temple with beautiful idols of lord ganesha the priest is very welcoming and knowledgeable and makes you want to visit again and again temple also hosts several music events sevas by local bay area music students and gurus,very cute temple with beautiful idols of lord ganesha the priest is very welcoming and knowledgeable and makes you want to visit again and again temple also hosts several music events sevas by local bay area music students and gurus,very cute temple with beautiful idols of lord ganesha the priest is very welcoming and knowledgeable and makes you want to visit again and again temple also hosts several music events sevas by local bay area music students and gurus,Lainnya,Negatif,0.8933
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Ranjini Venkatachari,5,2026-01-08T07:19:44.556Z,"Always feel so blessed to be at this temple. The new temple is very beautiful, divine and is led by knowledgeable priest. Dedicated team of volunteers and a variety of programs to serve the community. 🙏🙏🙏",always feel so blessed to be at this temple the new temple is very beautiful divine and is led by knowledgeable priest dedicated team of volunteers and a variety of programs to serve the community,always feel so blessed to be at this temple the new temple is very beautiful divine and is led by knowledgeable priest dedicated team of volunteers and a variety of programs to serve the community,always feel so blessed to be at this temple the new temple is very beautiful divine and is led by knowledgeable priest dedicated team of volunteers and variety of programs to serve the community,Lainnya,Negatif,0.8358
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Monika Demla,5,2026-01-02T17:37:43.763Z,Beautiful temple.,beautiful temple,beautiful temple,beautiful temple,Lainnya,Negatif,0.9865
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Anil Sharma,5,2025-12-02T17:05:00.784Z,New Ganesh temple with very knowledgeable priests and dedicated volunteers. Visit and support this temple!!,new ganesh temple with very knowledgeable priests and dedicated volunteers visit and support this temple,new ganesh temple with very knowledgeable priests and dedicated volunteers visit and support this temple,new ganesh temple with very knowledgeable priests and dedicated volunteers visit and support this temple,Lainnya,Netral,0.7769
Lainnya,Sri Karpaga Ganapathi Temple,5,24,Venkata Sai Pinninti,5,2025-05-14T02:45:06.531Z,Jai Ganesh Temple,jai ganesh temple,jai ganesh temple,jai ganesh temple,Lainnya,Netral,0.9226
