Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Renny Boel Rinevy,5,2026-07-13T07:33:39.454Z,Jalan siang....,jalan siang,jalan siang,jalan siang,Infrastruktur,Netral,0.5808
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Manyu Bayu,5,2026-07-13T07:23:33.761Z,nyaman buat lari,nyaman buat lari,nyaman buat lari,nyaman buat lari,Fasilitas,Negatif,0.9967
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Han Two,4,2026-07-13T03:59:19.826Z,Ada sewa sepeda walaupun gak bisa dipakai di track luar gelora jadi hanya di luar pagar. Nongkrong di Alfa atau Indomaret selepas jogging buat nambah kalori. Ada area Gym terbuka juga. Banyak2 istighfar karna banyak yang pakaiannya kurang bahan saat olahraga 😂. Ada tempat penitipan tas sistem aplikasi Paxel dan ada toiletumumj serta jajanan jug aafa.,ada sewa sepeda walaupun gak bisa dipakai di track luar gelora jadi hanya di luar pagar nongkrong di alfa atau indomaret selepas jogging buat nambah kalori ada area gym terbuka juga banyak2 istighfar karna banyak yang pakaiannya kurang bahan saat olahraga ada tempat penitipan tas sistem aplikasi paxel dan ada toiletumumj serta jajanan jug aafa,ada sewa sepeda walaupun tidak bisa dipakai di track luar gelora jadi hanya di luar pagar nongkrong di alfa atau indomaret selepas jogging buat nambah kalori ada area gym terbuka juga banyak2 istighfar karna banyak yang pakaiannya kurang bahan saat olahraga ada tempat penitipan tas sistem aplikasi paxel dan ada toiletumumj serta jajanan jug aafa,sewa sepeda walaupun dipakai track luar gelora jadi hanya luar pagar nongkrong alfa indomaret selepas jogging buat nambah kalori area gym terbuka banyak2 istighfar karna banyak pakaiannya kurang bahan olahraga tempat penitipan tas sistem aplikasi paxel toiletumumj serta jajanan jug aafa,Fasilitas,Negatif,0.9129
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Waroeng Ziehan,4,2026-07-13T03:54:57.353Z,Sore jelang malam hari kerja umumnya ramai yang tawaf nih. beberapa gate ditutupnjadi fokus pada gate tertentu aja.,sore jelang malam hari kerja umumnya ramai yang tawaf nih beberapa gate ditutupnjadi fokus pada gate tertentu aja,sore jelang malam hari kerja umumnya ramai yang tawaf nih beberapa gate ditutupnjadi fokus pada gate tertentu aja,sore jelang malam hari kerja umumnya ramai tawaf nih beberapa gate ditutupnjadi fokus gate tertentu aja,Lainnya,Netral,0.9142
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Han Two,4,2026-07-13T03:52:03.298Z,Bisa akses dari gate 6 untuk oehalan kaki. Ramai yang olah raga terutama sore jelang malam selepas jam kerja dan ada sewa sepeda. Ada tempat nongkrong dinAlfamart atau indomaret. Ada Gym juga.,bisa akses dari gate untuk oehalan kaki ramai yang olah raga terutama sore jelang malam selepas jam kerja dan ada sewa sepeda ada tempat nongkrong dinalfamart atau indomaret ada gym juga,bisa akses dari gate untuk oehalan kaki ramai yang olah raga terutama sore jelang malam selepas jam kerja dan ada sewa sepeda ada tempat nongkrong dinalfamart atau indomaret ada gym juga,akses gate oehalan kaki ramai olah raga terutama sore jelang malam selepas jam kerja sewa sepeda tempat nongkrong dinalfamart indomaret gym,Infrastruktur,Negatif,0.9636
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Ayah Chaca,5,2026-07-13T00:46:21.748Z,Ramai sekali di saat jam menjelang sore sampe malam banyak yg joging ccok buat cuci mata😁,ramai sekali di saat jam menjelang sore sampe malam banyak yg joging ccok buat cuci mata,ramai sekali di saat jam menjelang sore sampe malam banyak yang joging ccok buat cuci mata,ramai jam menjelang sore sampe malam banyak joging ccok buat cuci mata,Lainnya,Negatif,0.8343
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Yusuf Ucup,5,2026-07-12T06:15:17.097Z,"Gede banget, cukup ramai tapi masih ada space yang enjoyable ada berbagai foodtruck. Mau olahraga sendiri atau ramai-ramai cukup menyenangkan",gede banget cukup ramai tapi masih ada space yang enjoyable ada berbagai foodtruck mau olahraga sendiri atau ramai ramai cukup menyenangkan,gede banget cukup ramai tapi masih ada space yang enjoyable ada berbagai foodtruck mau olahraga sendiri atau ramai ramai cukup menyenangkan,gede banget cukup ramai space enjoyable berbagai foodtruck mau olahraga sendiri ramai ramai cukup menyenangkan,Fasilitas,Negatif,0.9977
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Vicky Gerung,5,2026-07-12T05:25:57.728Z,Kebanggan kita,kebanggan kita,kebanggan kita,kebanggan,Lainnya,Negatif,0.9857
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Jovan Nathan,5,2026-07-11T22:33:09.633Z,Nice place,nice place,nice place,nice place,Fasilitas,Negatif,0.9891
Lainnya,Stadion Gelora Bung Karno,4.8,59947,Rahayu Shinta,5,2026-07-11T11:35:59.872Z,"Tempat nya adem, karna banyak pohon nya, tersedia toilet. Pokoknya bagus deh",tempat nya adem karna banyak pohon nya tersedia toilet pokoknya bagus deh,tempat nya adem karna banyak pohon nya tersedia toilet pokoknya bagus deh,tempat adem karna banyak pohon tersedia toilet pokoknya bagus,Fasilitas,Negatif,0.9978
