Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Stadion Pelemwatu,4.4,57,Amirul Jafar,4,2024-10-10T01:16:23.560Z,"Tempat beraktivitas warga sekitar & anak anak sekolahan, kalau sore kadang ada pertandingan sepakbola & banyak PKL yang datang. Dekat dengan masjid & warung kopi untuk bersantai sambil menonton pertandingan sepakbola.",tempat beraktivitas warga sekitar anak anak sekolahan kalau sore kadang ada pertandingan sepakbola banyak pkl yang datang dekat dengan masjid warung kopi untuk bersantai sambil menonton pertandingan sepakbola,tempat beraktivitas warga sekitar anak anak sekolahan kalau sore kadang ada pertandingan sepakbola banyak pkl yang datang dekat dengan masjid warung kopi untuk bersantai sambil menonton pertandingan sepakbola,tempat beraktivitas warga sekitar anak anak sekolahan sore kadang pertandingan sepakbola banyak pkl datang dekat masjid warung kopi bersantai sambil menonton pertandingan sepakbola,Lainnya,Negatif,0.5357
Lainnya,Stadion Pelemwatu,4.4,57,Novian Hari Widodo,5,2024-04-19T12:45:34.129Z,"Lapangannya bagus, terawat dan rapi...",lapangannya bagus terawat dan rapi,lapangannya bagus terawat dan rapi,lapangannya bagus terawat rapi,Kesehatan,Negatif,0.9964
Lainnya,Stadion Pelemwatu,4.4,57,Mas Hari,5,2024-02-24T00:10:18.291Z,Stadion wong menganti,stadion wong menganti,stadion wong menganti,stadion wong menganti,Lainnya,Netral,0.9477
Lainnya,Stadion Pelemwatu,4.4,57,Mas Jinan,4,2023-09-17T08:45:53.048Z,"Lapangan lumayan rata, Dari jalan utama tidak terlalu jauh, Tentunya harus tetep dirawat terus biar lebih bagus lagi",lapangan lumayan rata dari jalan utama tidak terlalu jauh tentunya harus tetep dirawat terus biar lebih bagus lagi,lapangan lumayan rata dari jalan utama tidak terlalu jauh tentunya harus tetep dirawat terus biar lebih bagus lagi,lapangan lumayan rata jalan utama terlalu jauh tentunya harus tetep dirawat terus biar bagus,Kesehatan,Negatif,0.8934
Lainnya,Stadion Pelemwatu,4.4,57,moel jadi,5,2023-08-27T03:22:45.398Z,"Untuk tingkat desa stadion ini cukup luas,akses cukup mudah.",untuk tingkat desa stadion ini cukup luas akses cukup mudah,untuk tingkat desa stadion ini cukup luas akses cukup mudah,tingkat desa stadion cukup luas akses cukup mudah,Infrastruktur,Negatif,0.9685
Lainnya,Stadion Pelemwatu,4.4,57,mas ozan,4,2023-02-10T06:20:53.931Z,masih perlu banyak penambahan fsilitas..tp untuk lapanganya sudah cukup bagus untuk kelas kampung lokasinya pun strategis,masih perlu banyak penambahan fsilitas tp untuk lapanganya sudah cukup bagus untuk kelas kampung lokasinya pun strategis,masih perlu banyak penambahan fsilitas tapi untuk lapanganya sudah cukup bagus untuk kelas kampung lokasinya pun strategis,perlu banyak penambahan fsilitas lapanganya cukup bagus kelas kampung lokasinya strategis,Lainnya,Negatif,0.9946
Lainnya,Stadion Pelemwatu,4.4,57,Yudi Han Property,5,2022-09-17T02:22:26.716Z,Semangat Olab Raga Sepak bola,semangat olab raga sepak bola,semangat olab raga sepak bola,semangat olab raga sepak bola,Lainnya,Negatif,0.9753
Lainnya,Stadion Pelemwatu,4.4,57,Pujiantoro,4,2022-07-25T08:18:59.859Z,Lumayan bagus dan terawat,lumayan bagus dan terawat,lumayan bagus dan terawat,lumayan bagus terawat,Kesehatan,Negatif,0.9954
Lainnya,Stadion Pelemwatu,4.4,57,Fast,5,2022-05-14T07:20:04.659Z,"Perawatan lapangan bagus,cukup bersih",perawatan lapangan bagus cukup bersih,perawatan lapangan bagus cukup bersih,perawatan lapangan bagus cukup bersih,Fasilitas,Negatif,0.9929
Lainnya,Stadion Pelemwatu,4.4,57,yo yon,5,2022-04-10T03:19:10.467Z,Rumput bagus..tanah empuk tdk atos,rumput bagus tanah empuk tdk atos,rumput bagus tanah empuk tidak atos,rumput bagus tanah empuk atos,Lainnya,Negatif,0.9829
Lainnya,Stadion Pelemwatu,4.4,57,Sobat Rahman,5,2021-11-15T08:19:32.311Z,Lapangannya luas,lapangannya luas,lapangannya luas,lapangannya luas,Lainnya,Negatif,0.9953
