Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Industri,Stadion Petrokimia Gresik,4.4,938,me,4,2026-02-09T06:34:59.103Z,"Kondisi bangku penonton kurang layak, namun kualitas rumput nya cukup bagus.",kondisi bangku penonton kurang layak namun kualitas rumput nya cukup bagus,kondisi bangku penonton kurang layak namun kualitas rumput nya cukup bagus,kondisi bangku penonton kurang layak kualitas rumput cukup bagus,Lainnya,Positif,0.9905
Industri,Stadion Petrokimia Gresik,4.4,938,Enge Christina,5,2026-01-16T07:55:09.179Z,tempatnya besar. namun saat ke sana ada event dan security tampaknya kurang dibriefing sehingga kurang paham prosedur hari tersebut.,tempatnya besar namun saat ke sana ada event dan security tampaknya kurang dibriefing sehingga kurang paham prosedur hari tersebut,tempatnya besar namun saat ke sana ada event dan security tampaknya kurang dibriefing sehingga kurang paham prosedur hari tersebut,tempatnya besar sana event security tampaknya kurang dibriefing sehingga kurang paham prosedur hari tersebut,Keamanan,Positif,0.9865
Industri,Stadion Petrokimia Gresik,4.4,938,Sugeng widodo,5,2026-01-16T00:26:44.401Z,"Stadion ini bagus lapangan, jogging/running track, dll. Parkir juga sangat luas dan memadai. Hanya saja tribun nya yg SDH TDK layak. Mulai runtuh di sana sini tempat duduk nya. Hanya atap nya yg masih bagus. Tribun SDH gak boleh ditempati penonton. Jadi gak bisa buat kompetisi yg dihadiri banyak penonton. Untuk konser musik juga kayaknya gak boleh. Bahaya kalo penonton pada naik tribun. Longsor itu bisa bisa.",stadion ini bagus lapangan jogging running track dll parkir juga sangat luas dan memadai hanya saja tribun nya yg sdh tdk layak mulai runtuh di sana sini tempat duduk nya hanya atap nya yg masih bagus tribun sdh gak boleh ditempati penonton jadi gak bisa buat kompetisi yg dihadiri banyak penonton untuk konser musik juga kayaknya gak boleh bahaya kalo penonton pada naik tribun longsor itu bisa bisa,stadion ini bagus lapangan jogging running track dll parkir juga sangat luas dan memadai hanya saja tribun nya yang sudah tidak layak mulai runtuh di sana sini tempat duduk nya hanya atap nya yang masih bagus tribun sudah tidak boleh ditempati penonton jadi tidak bisa buat kompetisi yang dihadiri banyak penonton untuk konser musik juga kayaknya tidak boleh bahaya kalo penonton pada naik tribun longsor itu bisa bisa,stadion bagus lapangan jogging running track dll parkir luas memadai hanya saja tribun layak mulai runtuh sana sini tempat duduk hanya atap bagus tribun boleh ditempati penonton jadi buat kompetisi dihadiri banyak penonton konser musik kayaknya boleh bahaya kalo penonton naik tribun longsor,Fasilitas,Positif,0.665
Industri,Stadion Petrokimia Gresik,4.4,938,Jagad Bagus,5,2025-11-14T10:30:25.865Z,Tempat yg asri enak buat joging dan  santai di waktu pagi hari,tempat yg asri enak buat joging dan santai di waktu pagi hari,tempat yang asri enak buat joging dan santai di waktu pagi hari,tempat asri enak buat joging santai waktu pagi hari,Lainnya,Negatif,0.9975
Industri,Stadion Petrokimia Gresik,4.4,938,linda kusuma,5,2025-09-28T01:43:36.688Z,"Tempatnya adem, enak buat jogging",tempatnya adem enak buat jogging,tempatnya adem enak buat jogging,tempatnya adem enak buat jogging,Lainnya,Negatif,0.9973
Industri,Stadion Petrokimia Gresik,4.4,938,Ghoni Wijaya,5,2025-07-09T03:24:01.578Z,baik,baik,baik,baik,Lainnya,Negatif,0.9844
Industri,Stadion Petrokimia Gresik,4.4,938,MOCH Zainudin,4,2025-06-20T05:14:24.607Z,"dulu untuk galatama...sekarang tempat kegiatan masyarakat joging,bermain anak,senam pagi yg menyenangkan dan teduh nan asri...",dulu untuk galatama sekarang tempat kegiatan masyarakat joging bermain anak senam pagi yg menyenangkan dan teduh nan asri,dulu untuk galatama sekarang tempat kegiatan masyarakat joging bermain anak senam pagi yang menyenangkan dan teduh nan asri,dulu galatama sekarang tempat kegiatan masyarakat joging bermain anak senam pagi menyenangkan teduh nan asri,Lainnya,Negatif,0.967
Industri,Stadion Petrokimia Gresik,4.4,938,Galih Rachmadianto,5,2025-05-30T03:20:00.262Z,"Ramai,bagus",ramai bagus,ramai bagus,ramai bagus,Lainnya,Negatif,0.978
Industri,Stadion Petrokimia Gresik,4.4,938,masagus sugasam,5,2025-05-18T00:07:44.306Z,Amazing,amazing,amazing,amazing,Lainnya,Negatif,0.9963
Industri,Stadion Petrokimia Gresik,4.4,938,Niyuzuku Niswa,5,2025-05-04T12:56:01.392Z,"Stadion sepak bolanya sih standart, biasa aja. Tapi fasilitas sekitarnya (SOR Tri Dharma) sangat bagus dibandingkan fasilitas olahraga untuk umum lainnya di gresik. Terdapat jalur lari/jalan/sepeda yang cukup luas, yang bisa dilewati mobil dan kendaraan besar. Ada lapangan tennis outdoor, lapangan golf mini, lapangan berpasir, lapangan paving(bisa untuk badminton 2 lapangan). Ada lapangan sepakbola juga diluar stadion utama, biasanya untuk sepakbola umum para anak muda. Terdapat Pula besi untuk pull up, dan lainnya. Ada pula ruangan indoor yang merupakan homebase klub voli Gresik Petrokimia Putri. Selain itu, parkirannya sangat luas, sepertinya bisa lebih dari 200 mobil dan bus. Sehingga jika parkir kosong, kadang dimanfaatkan untuk badminton oleh warga. Yang paling membuat nyaman olahraga disini tuh karena pohonnya lebat rindang dan lestari, jadi olahraganya adem sambil dengerin suara burung berkicau. karena itu stadion ini kalau weekend pagi dan sore pasti padat (padat berjalan/jogging ya, bukan macet kayak pasar malem) bagi yang suka rame rame. Dan weekday pun buka pagi dan sore, jadi cocok untuk yang suka ketenangan.",stadion sepak bolanya sih standart biasa aja tapi fasilitas sekitarnya sor tri dharma sangat bagus dibandingkan fasilitas olahraga untuk umum lainnya di gresik terdapat jalur lari jalan sepeda yang cukup luas yang bisa dilewati mobil dan kendaraan besar ada lapangan tennis outdoor lapangan golf mini lapangan berpasir lapangan paving bisa untuk badminton lapangan ada lapangan sepakbola juga diluar stadion utama biasanya untuk sepakbola umum para anak muda terdapat pula besi untuk pull up dan lainnya ada pula ruangan indoor yang merupakan homebase klub voli gresik petrokimia putri selain itu parkirannya sangat luas sepertinya bisa lebih dari mobil dan bus sehingga jika parkir kosong kadang dimanfaatkan untuk badminton oleh warga yang paling membuat nyaman olahraga disini tuh karena pohonnya lebat rindang dan lestari jadi olahraganya adem sambil dengerin suara burung berkicau karena itu stadion ini kalau weekend pagi dan sore pasti padat padat berjalan jogging ya bukan macet kayak pasar malem bagi yang suka rame rame dan weekday pun buka pagi dan sore jadi cocok untuk yang suka ketenangan,stadion sepak bolanya sih standart biasa aja tapi fasilitas sekitarnya sor tri dharma sangat bagus dibandingkan fasilitas olahraga untuk umum lainnya di gresik terdapat jalur lari jalan sepeda yang cukup luas yang bisa dilewati mobil dan kendaraan besar ada lapangan tennis outdoor lapangan golf mini lapangan berpasir lapangan paving bisa untuk badminton lapangan ada lapangan sepakbola juga diluar stadion utama biasanya untuk sepakbola umum para anak muda terdapat pula besi untuk pull up dan lainnya ada pula ruangan indoor yang merupakan homebase klub voli gresik petrokimia putri selain itu parkirannya sangat luas sepertinya bisa lebih dari mobil dan bus sehingga jika parkir kosong kadang dimanfaatkan untuk badminton oleh warga yang paling membuat nyaman olahraga disini tuh karena pohonnya lebat rindang dan lestari jadi olahraganya adem sambil dengerin suara burung berkicau karena itu stadion ini kalau weekend pagi dan sore pasti padat padat berjalan jogging ya bukan macet kayak pasar malem bagi yang suka rame rame dan weekday pun buka pagi dan sore jadi cocok untuk yang suka ketenangan,stadion sepak bolanya standart biasa aja fasilitas sekitarnya sor tri dharma bagus dibandingkan fasilitas olahraga umum lainnya gresik terdapat jalur lari jalan sepeda cukup luas dilewati mobil kendaraan besar lapangan tennis outdoor lapangan golf mini lapangan berpasir lapangan paving badminton lapangan lapangan sepakbola diluar stadion utama biasanya sepakbola umum para anak muda terdapat besi pull up lainnya ruangan indoor merupakan homebase klub voli gresik petrokimia putri selain parkirannya luas sepertinya mobil bus sehingga parkir kosong kadang dimanfaatkan badminton warga paling membuat nyaman olahraga disini tuh pohonnya lebat rindang lestari jadi olahraganya adem sambil dengerin suara burung berkicau stadion weekend pagi sore pasti padat padat berjalan jogging ya bukan macet kayak pasar malem bagi suka rame rame weekday buka pagi sore jadi cocok suka ketenangan,Fasilitas,Negatif,0.9938
