Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Industri,Stadion Semen Gresik,4.2,256,YESSY ADILLA,5,2026-07-17T13:11:59.678Z,"Salah satu lapangan sepakbola di Gersik Jawa Timur, terletak di kawasan PT Semen Gresik tidak jauh dari Stadion Gelora Joko Samudro, stadion cukup luas dan nyaman, penerangan bagus serta memiliki fasilitas pendukung yang cukup lengkap untuk ukuran lapangan sepakbola yang biasa mengadakan turnamen grassroot",salah satu lapangan sepakbola di gersik jawa timur terletak di kawasan pt semen gresik tidak jauh dari stadion gelora joko samudro stadion cukup luas dan nyaman penerangan bagus serta memiliki fasilitas pendukung yang cukup lengkap untuk ukuran lapangan sepakbola yang biasa mengadakan turnamen grassroot,salah satu lapangan sepakbola di gersik jawa timur terletak di kawasan pt semen gresik tidak jauh dari stadion gelora joko samudro stadion cukup luas dan nyaman penerangan bagus serta memiliki fasilitas pendukung yang cukup lengkap untuk ukuran lapangan sepakbola yang biasa mengadakan turnamen grassroot,salah satu lapangan sepakbola gersik jawa timur terletak kawasan pt semen gresik jauh stadion gelora joko samudro stadion cukup luas nyaman penerangan bagus serta memiliki fasilitas pendukung cukup lengkap ukuran lapangan sepakbola biasa mengadakan turnamen grassroot,Fasilitas,Negatif,0.9796
Industri,Stadion Semen Gresik,4.2,256,Moh Khoirul anam,5,2026-05-13T00:54:38.567Z,Google map sangat membantu masyarakat,google map sangat membantu masyarakat,google map sangat membantu masyarakat,google map membantu masyarakat,Lainnya,Netral,0.9056
Industri,Stadion Semen Gresik,4.2,256,Abdoel Basiq,5,2026-05-08T04:49:02.926Z,"Lapangannya bagus, fasilitas lengkap",lapangannya bagus fasilitas lengkap,lapangannya bagus fasilitas lengkap,lapangannya bagus fasilitas lengkap,Fasilitas,Negatif,0.9968
Industri,Stadion Semen Gresik,4.2,256,Just baihaki,5,2026-02-03T11:59:19.504Z,Lapangan yang jadi saksi berkembangnya talenta muda sepakbola asal Gresik,lapangan yang jadi saksi berkembangnya talenta muda sepakbola asal gresik,lapangan yang jadi saksi berkembangnya talenta muda sepakbola asal gresik,lapangan jadi saksi berkembangnya talenta muda sepakbola asal gresik,Lainnya,Netral,0.9154
Industri,Stadion Semen Gresik,4.2,256,Izzati Winda,4,2025-12-29T08:15:39.644Z,"Stadion tua banget di gresik, ada di area perumahan dinas semen gresik jalan ra.kartini. Dulu masuknya lewat grbang yang ada di dalam perumahan dinas, tapi sekarang 2025 akhir udah ngga boleh lagi. Masuk nya lewat depan, yang mana itu parkir mobilnya sangat tidak proper ya, terbatas dan sempit sekali. Parkir motornya juga ngga aman2 banget. Untuk kualitas rumput lapangannya, cukup bagus, ada mushola, toilet, kantin. Shelter juga cukup untuk penunggu anak2 latihan. Kalau ada latihan malam hari jugaa lampu2nya masih cukup mendukung",stadion tua banget di gresik ada di area perumahan dinas semen gresik jalan ra kartini dulu masuknya lewat grbang yang ada di dalam perumahan dinas tapi sekarang akhir udah ngga boleh lagi masuk nya lewat depan yang mana itu parkir mobilnya sangat tidak proper ya terbatas dan sempit sekali parkir motornya juga ngga aman2 banget untuk kualitas rumput lapangannya cukup bagus ada mushola toilet kantin shelter juga cukup untuk penunggu anak2 latihan kalau ada latihan malam hari jugaa lampu2nya masih cukup mendukung,stadion tua banget di gresik ada di area perumahan dinas semen gresik jalan ra kartini dulu masuknya lewat grbang yang ada di dalam perumahan dinas tapi sekarang akhir udah tidak boleh lagi masuk nya lewat depan yang mana itu parkir mobilnya sangat tidak proper ya terbatas dan sempit sekali parkir motornya juga tidak aman2 banget untuk kualitas rumput lapangannya cukup bagus ada mushola toilet kantin shelter juga cukup untuk penunggu anak2 latihan kalau ada latihan malam hari jugaa lampu2nya masih cukup mendukung,stadion tua banget gresik area perumahan dinas semen gresik jalan ra kartini dulu masuknya lewat grbang perumahan dinas sekarang akhir udah boleh masuk lewat depan mana parkir mobilnya proper ya terbatas sempit parkir motornya aman2 banget kualitas rumput lapangannya cukup bagus mushola toilet kantin shelter cukup penunggu anak2 latihan latihan malam hari jugaa lampu2nya cukup mendukung,Fasilitas,Negatif,0.997
Industri,Stadion Semen Gresik,4.2,256,Muh ali erfan,5,2025-10-14T05:27:49.134Z,Legend soccer field in the town,legend soccer field in the town,legend soccer field in the town,legend soccer field in the town,Lainnya,Netral,0.9774
Industri,Stadion Semen Gresik,4.2,256,Martin Zain Lukman,5,2025-04-19T06:21:35.699Z,Lapangan oke. Stadion besar,lapangan oke stadion besar,lapangan oke stadion besar,lapangan oke stadion besar,Lainnya,Negatif,0.8885
Industri,Stadion Semen Gresik,4.2,256,Linda Yuliansari,5,2025-03-29T03:03:23.585Z,Lapangan bagus dan luas,lapangan bagus dan luas,lapangan bagus dan luas,lapangan bagus luas,Lainnya,Negatif,0.9963
Industri,Stadion Semen Gresik,4.2,256,muhammad wildan,4,2025-03-25T23:43:48.754Z,Stadion legendaris pada jaman masih smp... Sering d buat acara konser dll,stadion legendaris pada jaman masih smp sering d buat acara konser dll,stadion legendaris pada jaman masih smp sering d buat acara konser dll,stadion legendaris jaman smp sering buat acara konser dll,Fasilitas,Negatif,0.7471
Industri,Stadion Semen Gresik,4.2,256,Raffa Aulia,5,2024-10-01T07:23:31.658Z,View nya bagus sekali,view nya bagus sekali,view nya bagus sekali,view bagus,Lainnya,Negatif,0.9967
