Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Telaga Perengan,4,105,Asmoro Channel,5,2026-06-22T07:12:55.210Z,Seharusnya ditanami pohon biar tidak terlalu gersang,seharusnya ditanami pohon biar tidak terlalu gersang,seharusnya ditanami pohon biar tidak terlalu gersang,seharusnya ditanami pohon biar terlalu gersang,Lainnya,Positif,0.9909
Lainnya,Telaga Perengan,4,105,Haryanto Suharno,5,2026-02-02T13:03:15.922Z,Telaga Perengan terletak disebelah barat Telaga Ngipik... Spot mancing mania bagi yg hobi...,telaga perengan terletak disebelah barat telaga ngipik spot mancing mania bagi yg hobi,telaga perengan terletak disebelah barat telaga ngipik spot mancing mania bagi yang hobi,telaga perengan terletak disebelah barat telaga ngipik spot mancing mania bagi hobi,Lainnya,Positif,0.6896
Lainnya,Telaga Perengan,4,105,Rinto Wigiarso,5,2026-01-22T10:00:39.338Z,Spott mancing tanpa mengecewakan.,spott mancing tanpa mengecewakan,spott mancing tanpa mengecewakan,spott mancing tanpa mengecewakan,Lainnya,Positif,0.9961
Lainnya,Telaga Perengan,4,105,Wahyudi wahyudi,5,2024-12-15T12:08:55.658Z,Spot e mantap bolo,spot e mantap bolo,spot e bagus bolo,spot bagus bolo,Lainnya,Positif,0.9952
Lainnya,Telaga Perengan,4,105,kahfi Gaming,5,2022-09-11T09:08:14.500Z,Ajur gk gondol blass,ajur gk gondol blass,ajur tidak gondol blass,ajur gondol blass,Lainnya,Positif,0.9941
Lainnya,Telaga Perengan,4,105,Yoyoy Fishing.,5,2022-08-23T07:56:31.501Z,Seru banget dah pakok nya,seru banget dah pakok nya,seru banget dah pakok nya,seru banget dah pakok,Lainnya,Positif,0.996
Lainnya,Telaga Perengan,4,105,Aldi Wahyu saputra,5,2022-04-24T10:23:53.942Z,"Apik""",apik,apik,apik,Lainnya,Positif,0.9968
Lainnya,Telaga Perengan,4,105,alfi azizah,5,2022-02-25T15:22:38.951Z,Suasananya sejuk sekali,suasananya sejuk sekali,suasananya sejuk sekali,suasananya sejuk,Lainnya,Positif,0.9973
Lainnya,Telaga Perengan,4,105,ADEN1 YESNA,5,2021-10-20T10:47:09.665Z,Jos,jos,bagus,bagus,Lainnya,Positif,0.9961
Lainnya,Telaga Perengan,4,105,Dzikir Septiawan,5,2021-08-13T23:52:16.460Z,Sunrise sama sunset bagus disini,sunrise sama sunset bagus disini,sunrise sama sunset bagus disini,sunrise sama sunset bagus disini,Lainnya,Positif,0.9972
Lainnya,Telaga Perengan,4,105,Ahmad Aril,1,2021-03-25T21:26:40.260Z,mancing di tempat ini bayar kah?,mancing di tempat ini bayar kah,mancing di tempat ini bayar kah,mancing tempat bayar,Lainnya,Negatif,0.4763
Lainnya,Telaga Perengan,4,105,Ricky Saifulloh setiawan,5,2021-01-13T00:50:09.876Z,Tempat mancing yg bagus spootnya mantap jossnya,tempat mancing yg bagus spootnya mantap jossnya,tempat mancing yang bagus spootnya bagus jossnya,tempat mancing bagus spootnya bagus jossnya,Lainnya,Positif,0.9976
Lainnya,Telaga Perengan,4,105,Tri Handoko,5,2020-01-20T16:59:23.761Z,Tempat wisata keluarga untuk memancing dan camping,tempat wisata keluarga untuk memancing dan camping,tempat wisata keluarga untuk memancing dan camping,tempat wisata keluarga memancing camping,Lainnya,Positif,0.8985
Lainnya,Telaga Perengan,4,105,Mansoor Ahmed,3,2020-01-09T03:05:09.598Z,OK,ok,oke,oke,Lainnya,Negatif,0.9063
Lainnya,Telaga Perengan,4,105,LOS GIR official,3,2019-11-12T13:07:22.916Z,Wahana refreshing lokal untuk mancing yg santuy,wahana refreshing lokal untuk mancing yg santuy,wahana refreshing lokal untuk mancing yang santuy,wahana refreshing lokal mancing santuy,Lainnya,Negatif,0.9391
