Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,TELOGO DOWO,4.5,38,Citra Fitrie Riany,5,2026-06-11T00:58:16.498Z,Place to see nature in the middle of industries,place to see nature in the middle of industries,place to see nature in the middle of industries,place to see nature in the middle of industries,Fasilitas,Netral,0.9806
Wisata,TELOGO DOWO,4.5,38,ismail shoji ismail,5,2026-04-12T06:16:01.393Z,Tempat yang bagus untuk menenangkan diri,tempat yang bagus untuk menenangkan diri,tempat yang bagus untuk menenangkan diri,tempat bagus menenangkan diri,Lainnya,Positif,0.9963
Wisata,TELOGO DOWO,4.5,38,riky romadhoni,5,2026-01-31T08:17:26.846Z,bagua,bagua,bagua,bagua,Lainnya,Positif,0.9417
Wisata,TELOGO DOWO,4.5,38,Abid M. Sholihul,5,2026-01-11T13:08:56.841Z,dapat ikan kecil2,dapat ikan kecil2,dapat ikan kecil2,ikan kecil2,Lainnya,Positif,0.9412
Wisata,TELOGO DOWO,4.5,38,Erna YMPS,1,2025-12-31T01:17:12.270Z,"Nggak terawat, pas kesana becek semua",nggak terawat pas kesana becek semua,tidak terawat pas kesana becek semua,terawat pas kesana becek semua,Kesehatan,Negatif,0.9965
Wisata,TELOGO DOWO,4.5,38,Eko Sudaryanto,5,2024-11-03T05:20:51.862Z,Adem tempat nya,adem tempat nya,adem tempat nya,adem tempat,Lainnya,Positif,0.9947
Wisata,TELOGO DOWO,4.5,38,The Mift,4,2024-08-14T21:15:50.673Z,"Sangat cocok utk healing dan olahraga seperti lari, bersepeda, maupun mancing.. 🌄",sangat cocok utk healing dan olahraga seperti lari bersepeda maupun mancing,sangat cocok untuk healing dan olahraga seperti lari bersepeda maupun mancing,cocok healing olahraga seperti lari bersepeda maupun mancing,Lainnya,Positif,0.9802
Wisata,TELOGO DOWO,4.5,38,izzaatuul,5,2024-08-05T14:07:10.127Z,Private lagoon🥰,private lagoon,private lagoon,private lagoon,Lainnya,Positif,0.9568
Wisata,TELOGO DOWO,4.5,38,Ahmad Yusron,5,2024-02-05T11:21:59.304Z,Mancing mujaer Sambaran jos,mancing mujaer sambaran jos,mancing mujaer sambaran bagus,mancing mujaer sambaran bagus,Lainnya,Positif,0.9966
Wisata,TELOGO DOWO,4.5,38,Rahadian Nugraha,5,2023-12-25T02:42:25.596Z,quiet and nice fishing spot,quiet and nice fishing spot,quiet and nice fishing spot,quiet and nice fishing spot,Lainnya,Positif,0.9766
Wisata,TELOGO DOWO,4.5,38,Eko kus Saputra,5,2023-05-18T09:44:51.285Z,bekas galian pt semen gresik yg menjadi telaga . ikan mujaer lohan dll.,bekas galian pt semen gresik yg menjadi telaga ikan mujaer lohan dll,bekas galian pt semen gresik yang menjadi telaga ikan mujaer lohan dll,bekas galian pt semen gresik menjadi telaga ikan mujaer lohan dll,Lainnya,Netral,0.9885
Wisata,TELOGO DOWO,4.5,38,Akhmad Khoirun,5,2022-12-11T12:51:03.887Z,Bismillah,bismillah,bismillah,bismillah,Lainnya,Positif,0.8202
Wisata,TELOGO DOWO,4.5,38,Achmad Syaifuddin,5,2022-06-10T07:22:01.694Z,Tempat syahdu buat camping,tempat syahdu buat camping,tempat syahdu buat camping,tempat syahdu buat camping,Lainnya,Positif,0.9956
Wisata,TELOGO DOWO,4.5,38,Misma Wati,5,2022-03-06T12:29:56.840Z,Cocok buat pemancing nila babon.,cocok buat pemancing nila babon,cocok buat pemancing nila babon,cocok buat pemancing nila babon,Lainnya,Positif,0.9957
Wisata,TELOGO DOWO,4.5,38,Arie Amri,4,2022-02-22T17:55:23.270Z,"Buat Mancing, tp harus hati hati",buat mancing tp harus hati hati,buat mancing tapi harus hati hati,buat mancing harus hati hati,Lainnya,Netral,0.5079
Wisata,TELOGO DOWO,4.5,38,Ikhsan Rosyid,4,2021-10-24T20:39:19.235Z,"Panggon gae mancing, bekas galian tanah kapur milik perusahaan PT Semen Gresik, wis gak digae maneh.",panggon gae mancing bekas galian tanah kapur milik perusahaan pt semen gresik wis gak digae maneh,panggon gae mancing bekas galian tanah kapur milik perusahaan pt semen gresik wis tidak digae maneh,panggon gae mancing bekas galian tanah kapur milik perusahaan pt semen gresik wis digae maneh,Lainnya,Positif,0.9298
Wisata,TELOGO DOWO,4.5,38,Muhammad Ahmad,4,2021-09-25T01:06:31.893Z,Bagus.... Bersih,bagus bersih,bagus bersih,bagus bersih,Fasilitas,Positif,0.9969
Wisata,TELOGO DOWO,4.5,38,RR 036,5,2021-09-03T02:55:08.685Z,Lokasi yg tenang dan nyantai. Bisa untuk memancing,lokasi yg tenang dan nyantai bisa untuk memancing,lokasi yang tenang dan nyantai bisa untuk memancing,lokasi tenang nyantai memancing,Lainnya,Positif,0.9862
Wisata,TELOGO DOWO,4.5,38,Rob,5,2020-12-09T17:14:16.549Z,"Telaga yang tenang, sepi, damai, dan asri. Beberapa orang suka menghabiskan waktu di sini untuk memancing, atau bersepeda. Kadang agak mistis juga tempatnya. Semoga hutan di sekitarnya serta telaganya semakin lestari. Jangan buang sampah sembarang di sini, jangan kotori airnya!",telaga yang tenang sepi damai dan asri beberapa orang suka menghabiskan waktu di sini untuk memancing atau bersepeda kadang agak mistis juga tempatnya semoga hutan di sekitarnya serta telaganya semakin lestari jangan buang sampah sembarang di sini jangan kotori airnya,telaga yang tenang sepi damai dan asri beberapa orang suka menghabiskan waktu di sini untuk memancing atau bersepeda kadang agak mistis juga tempatnya semoga hutan di sekitarnya serta telaganya semakin lestari jangan buang sampah sembarang di sini jangan kotori airnya,telaga tenang sepi damai asri beberapa orang suka menghabiskan waktu sini memancing bersepeda kadang agak mistis tempatnya semoga hutan sekitarnya serta telaganya semakin lestari jangan buang sampah sembarang sini jangan kotori airnya,Fasilitas,Positif,0.9879
Wisata,TELOGO DOWO,4.5,38,Yopi Paridy,5,2020-12-08T01:31:57.373Z,Josss,josss,josss,josss,Lainnya,Positif,0.9958
