Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Rifkidho Amd,1,2026-05-16T05:30:14.616Z,"Petugasnya hanya satu yg input data sama kasir, jadi agak lama prosesnya. Trus waktu menjumlahkan antara pajak motor sama mobil gak sesuai jumlahnya, kayaknya kalkulator di HPnya rusak",petugasnya hanya satu yg input data sama kasir jadi agak lama prosesnya trus waktu menjumlahkan antara pajak motor sama mobil gak sesuai jumlahnya kayaknya kalkulator di hpnya rusak,petugasnya hanya satu yang input data sama kasir jadi agak lama prosesnya trus waktu menjumlahkan antara pajak motor sama mobil tidak sesuai jumlahnya kayaknya kalkulator di hpnya rusak,petugasnya hanya satu input data sama kasir jadi agak lama prosesnya trus waktu menjumlahkan antara pajak motor sama mobil sesuai jumlahnya kayaknya kalkulator hpnya rusak,Pelayanan,Positif,0.9881
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,M3IA2,5,2026-01-15T01:46:03.934Z,Pelayanan cepat dan ramah,pelayanan cepat dan ramah,pelayanan cepat dan ramah,pelayanan cepat ramah,Pelayanan,Negatif,0.9955
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Heru Jatmiko,5,2025-10-20T07:44:20.852Z,Ternyata buka nya jam 08.00 - 14.00,ternyata buka nya jam,ternyata buka nya jam,ternyata buka jam,Lainnya,Netral,0.9745
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Indra Istiqoma,1,2025-10-02T03:07:59.889Z,"Mengantar orang tua sekitar jam 7 pagi, memang belum buka karena sekalian saya berangkat kerja. Orang tua saya gak boleh masuk halaman, masak nunggu di pinggir jalan. Gak perlu masuk kantor kalau belum buka, yg penting nunggu di halaman. Security hitam ngusir kami. Kami bayar pajak, bukan minta-minta apalagi nyolong.",mengantar orang tua sekitar jam pagi memang belum buka karena sekalian saya berangkat kerja orang tua saya gak boleh masuk halaman masak nunggu di pinggir jalan gak perlu masuk kantor kalau belum buka yg penting nunggu di halaman security hitam ngusir kami kami bayar pajak bukan minta minta apalagi nyolong,mengantar orang tua sekitar jam pagi memang belum buka karena sekalian saya berangkat kerja orang tua saya tidak boleh masuk halaman masak nunggu di pinggir jalan tidak perlu masuk kantor kalau belum buka yang penting nunggu di halaman security hitam ngusir kami kami bayar pajak bukan minta minta apalagi nyolong,mengantar orang tua sekitar jam pagi memang buka sekalian berangkat kerja orang tua boleh masuk halaman masak nunggu pinggir jalan perlu masuk kantor buka penting nunggu halaman security hitam ngusir bayar pajak bukan minta minta apalagi nyolong,Infrastruktur,Positif,0.9662
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Sheren Claudia Agustin,1,2025-08-04T07:59:16.307Z,Proses validasi PBB saya lama sekali hingga kini belum selesai,proses validasi pbb saya lama sekali hingga kini belum selesai,proses validasi pbb saya lama sekali hingga kini belum selesai,proses validasi pbb lama hingga kini selesai,Lainnya,Netral,0.9885
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Mufadilah,1,2025-03-27T04:36:43.037Z,"Tulisannya tutup jam 12.00 siang, tapi datang jam 11.30 sudah ditolak sama satpam",tulisannya tutup jam siang tapi datang jam sudah ditolak sama satpam,tulisannya tutup jam siang tapi datang jam sudah ditolak sama satpam,tulisannya tutup jam siang datang jam ditolak sama satpam,Keamanan,Positif,0.9599
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,H. Wijang Ariyo,1,2025-01-03T09:35:00.423Z,"Mohon maaf, ini kami fotonya kurleb 20menit yg lalu. Banyak lho yg antri depan pagar. Banyak juga yg taat pajak. Tp mengapa begini ???",mohon maaf ini kami fotonya kurleb 20menit yg lalu banyak lho yg antri depan pagar banyak juga yg taat pajak tp mengapa begini,mohon maaf ini kami fotonya kurleb 20menit yang lalu banyak lho yang antrian depan pagar banyak juga yang taat pajak tapi mengapa begini,mohon maaf fotonya kurleb 20menit lalu banyak lho antrian depan pagar banyak taat pajak mengapa begini,Pelayanan,Positif,0.9431
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Liza Terry,1,2024-09-04T04:50:08.081Z,"saya bayar pajak tahunan ga pake ktp asli pemilik disuruh pulang, pdhal biasanya boleh ttp hrs byr 50 la ini krn pemilik asli gada ditempat klo pake jasa pemlik aslipun sy ksih uang saku 50 ke pemilik sma aja kan...byr pajak salah ga byr pajak salah pdhal harusnya kita dipermudah krn taat pajak... knp malah dipersulit?",saya bayar pajak tahunan ga pake ktp asli pemilik disuruh pulang pdhal biasanya boleh ttp hrs byr la ini krn pemilik asli gada ditempat klo pake jasa pemlik aslipun sy ksih uang saku ke pemilik sma aja kan byr pajak salah ga byr pajak salah pdhal harusnya kita dipermudah krn taat pajak knp malah dipersulit,saya bayar pajak tahunan tidak pake ktp asli pemilik disuruh pulang pdhal biasanya boleh ttp harus byr la ini karena pemilik asli gada ditempat kalau pake jasa pemlik aslipun saya ksih uang saku ke pemilik sma aja kan byr pajak salah tidak byr pajak salah pdhal harusnya kita dipermudah karena taat pajak knp malah dipersulit,bayar pajak tahunan pake ktp asli pemilik disuruh pulang pdhal biasanya boleh ttp harus byr la pemilik asli gada ditempat pake jasa pemlik aslipun ksih uang saku pemilik sma aja kan byr pajak salah byr pajak salah pdhal harusnya dipermudah taat pajak knp malah dipersulit,Administrasi,Positif,0.9897
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Maharani Anggitha Dhany,5,2024-06-21T09:09:20.444Z,"Lokasi tengah kota, tempat nyaman dan antriannya cepat. Pembayaran dapat dilakukan dengan QRIS. So Simpel. Jam buka 08.00 sd 13.00 lanjut 15.00 sd 16.00 ambil yang antrian sore, lebih sedikit.",lokasi tengah kota tempat nyaman dan antriannya cepat pembayaran dapat dilakukan dengan qris so simpel jam buka sd lanjut sd ambil yang antrian sore lebih sedikit,lokasi tengah kota tempat nyaman dan antriannya cepat pembayaran dapat dilakukan dengan qris so simpel jam buka sd lanjut sd ambil yang antrian sore lebih sedikit,lokasi tengah kota tempat nyaman antriannya cepat pembayaran dilakukan qris so simpel jam buka sd lanjut sd ambil antrian sore sedikit,Pelayanan,Negatif,0.992
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,OLDY POLREND,5,2024-02-14T06:16:16.609Z,"UPT Pengelolaan Pendapatan Daerah (PPD) Gresik di Jalan Panglima Sudirman (Pangsud) 102 Sidokumpul Gresik sejak November 2023 pindah ke Jln Dr. Wahidin Sudirohusodo No. 680 Kembangan, Kebomas, Gresik 61121 (eks Kantor Bersama (KB) SAMSAT Gresik). Untuk wajib pajak yang sering kesasar nanyakan pengurusan ganti plat 5 tahunan, silakan ke alamat baru KB SAMSAT Gresik di Jln Dr. Wahidin Sudirohusodo No. 714 sebelah timur Icon Mall, atau 500 meter dari kantor UPT PPD Gresik yang sekarang 🙏🏻.. Kantor lama tetap ada layanan pembayaran pajak kendaraan bermotor tahunan yang diberi mana SAMSAT PAYMENT POINT PANGLIMA SUDIRMAN/PANGSUD",upt pengelolaan pendapatan daerah ppd gresik di jalan panglima sudirman pangsud sidokumpul gresik sejak november pindah ke jln dr wahidin sudirohusodo no kembangan kebomas gresik eks kantor bersama kb samsat gresik untuk wajib pajak yang sering kesasar nanyakan pengurusan ganti plat tahunan silakan ke alamat baru kb samsat gresik di jln dr wahidin sudirohusodo no sebelah timur icon mall atau meter dari kantor upt ppd gresik yang sekarang kantor lama tetap ada layanan pembayaran pajak kendaraan bermotor tahunan yang diberi mana samsat payment point panglima sudirman pangsud,upt pengelolaan pendapatan daerah ppd gresik di jalan panglima sudirman pangsud sidokumpul gresik sejak november pindah ke jln dari wahidin sudirohusodo no kembangan kebomas gresik eks kantor bersama kb samsat gresik untuk wajib pajak yang sering kesasar nanyakan pengurusan ganti plat tahunan silakan ke alamat baru kb samsat gresik di jln dari wahidin sudirohusodo no sebelah timur icon mall atau meter dari kantor upt ppd gresik yang sekarang kantor lama tetap ada layanan pembayaran pajak kendaraan bermotor tahunan yang diberi mana samsat payment point panglima sudirman pangsud,upt pengelolaan pendapatan daerah ppd gresik jalan panglima sudirman pangsud sidokumpul gresik sejak november pindah jln wahidin sudirohusodo no kembangan kebomas gresik eks kantor bersama kb samsat gresik wajib pajak sering kesasar nanyakan pengurusan ganti plat tahunan silakan alamat kb samsat gresik jln wahidin sudirohusodo no sebelah timur icon mall meter kantor upt ppd gresik sekarang kantor lama tetap layanan pembayaran pajak kendaraan bermotor tahunan diberi mana samsat payment point panglima sudirman pangsud,Pelayanan,Netral,0.9508
Lainnya,UPT Pengelolaan Pendapatan Daerah Gresik,3.5,34,Nofa Aji Prayoga,3,2023-12-31T11:01:35.189Z,Kantor dingin. Sayang minumnya ga gratis,kantor dingin sayang minumnya ga gratis,kantor dingin sayang minumnya tidak gratis,kantor dingin sayang minumnya gratis,Lainnya,Negatif,0.9821
