Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Desy Nalurita,5,2026-05-14T13:40:33.773Z,Pelayanan memuaskan ..,pelayanan memuaskan,pelayanan memuaskan,pelayanan memuaskan,Pelayanan,Negatif,0.996
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Puskesmas Sembayat,5,2026-01-30T07:40:55.355Z,sangat baik,sangat baik,sangat baik,baik,Lainnya,Negatif,0.9844
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Jauh Amriyah,2,2025-12-29T04:58:09.247Z,Ya Allah... Para petugas puskesmas pagi mohon agak ramah kepada pasien.. Yg datang kesitu itu untuk berobat.. Jadi maklum kalo banyak tanya karna tidak tahu.. Jangan ketus ketus apalagi pasiennya sudah berumur jd pemahamannya agak lambat..... Mohon pelayanan nya D perbaiki... Apa karna jenengan d bidang medis jadi merasa Drajat nya lebih tinggi sehingga menganggap remeh pasien...Mau kontrol luka jahitan bahkan sama dokter nya g Di lihat D suruh langsung ke bagian perawatan.. Kan kita nunggu hari aktif biar bisa dilihat lukanya sama dokter kalo cuma d suruh perawatan saja y dr kmren2 bisa langsung ke UGD... Kita bayar g minta gratisan kog... @DinaskeshatankabupatenGresik,ya allah para petugas puskesmas pagi mohon agak ramah kepada pasien yg datang kesitu itu untuk berobat jadi maklum kalo banyak tanya karna tidak tahu jangan ketus ketus apalagi pasiennya sudah berumur jd pemahamannya agak lambat mohon pelayanan nya d perbaiki apa karna jenengan d bidang medis jadi merasa drajat nya lebih tinggi sehingga menganggap remeh pasien mau kontrol luka jahitan bahkan sama dokter nya g di lihat d suruh langsung ke bagian perawatan kan kita nunggu hari aktif biar bisa dilihat lukanya sama dokter kalo cuma d suruh perawatan saja y dr kmren2 bisa langsung ke ugd kita bayar g minta gratisan kog,ya allah para petugas puskesmas pagi mohon agak ramah kepada pasien yang datang kesitu itu untuk berobat jadi maklum kalo banyak tanya karna tidak tahu jangan ketus ketus apalagi pasiennya sudah berumur jd pemahamannya agak lambat mohon pelayanan nya d perbaiki apa karna jenengan d bidang medis jadi merasa drajat nya lebih tinggi sehingga menganggap remeh pasien mau kontrol luka jahitan bahkan sama dokter nya g di lihat d suruh langsung ke bagian perawatan kan kita nunggu hari aktif biar bisa dilihat lukanya sama dokter kalo cuma d suruh perawatan saja y dari kmren2 bisa langsung ke ugd kita bayar g minta gratisan kog,ya allah para petugas puskesmas pagi mohon agak ramah kepada pasien datang kesitu berobat jadi maklum kalo banyak tanya karna tahu jangan ketus ketus apalagi pasiennya berumur jd pemahamannya agak lambat mohon pelayanan perbaiki apa karna jenengan bidang medis jadi merasa drajat tinggi sehingga menganggap remeh pasien mau kontrol luka jahitan bahkan sama dokter lihat suruh langsung bagian perawatan kan nunggu hari aktif biar dilihat lukanya sama dokter kalo cuma suruh perawatan saja kmren2 langsung ugd bayar minta gratisan kog,Pelayanan,Positif,0.9684
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Nofi Saputro,1,2025-11-28T00:17:53.137Z,"Mau bikin surat kesehatan persyaratan buat ngelamar kerja, disuruh nunggu antri, pdhl didalam ruang tidak ada orang(kosong orang yang antri belum ada yang masuk),mohon pemerintah desa ataupun yg lainnya, mohon diperbaiki",mau bikin surat kesehatan persyaratan buat ngelamar kerja disuruh nunggu antri pdhl didalam ruang tidak ada orang kosong orang yang antri belum ada yang masuk mohon pemerintah desa ataupun yg lainnya mohon diperbaiki,mau bikin surat kesehatan persyaratan buat ngelamar kerja disuruh nunggu antrian pdhl didalam ruang tidak ada orang kosong orang yang antrian belum ada yang masuk mohon pemerintah desa ataupun yang lainnya mohon diperbaiki,mau bikin surat kesehatan persyaratan buat ngelamar kerja disuruh nunggu antrian pdhl didalam ruang orang kosong orang antrian masuk mohon pemerintah desa ataupun lainnya mohon diperbaiki,Pelayanan,Positif,0.6938
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,bidayatul hidayah,2,2025-11-26T06:43:31.997Z,Tilong diperbaiki lg klu edukasi ke pasien dan better pke masker aj deh soalnya tdk ramah sekali mohon maaf,tilong diperbaiki lg klu edukasi ke pasien dan better pke masker aj deh soalnya tdk ramah sekali mohon maaf,tilong diperbaiki lg kalau edukasi ke pasien dan better pke masker aj deh soalnya tidak ramah sekali mohon maaf,tilong diperbaiki lg edukasi pasien better pke masker aj soalnya ramah mohon maaf,Pelayanan,Netral,0.9033
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Tazkiyyatul Maulidah,2,2025-11-05T13:29:44.980Z,"Untuk pelayanan antrian sudah lumayan bagus. Sudah bisa antri online. Yg nanganin juga ramah. Tapi masuk ke poli yg dituju, auranya sudah beda. Kita yg ga pernah pakai BPJS juga gatau alur pemeriksaannya. Harus dikasih tau bukan malah tambah di salah""in. Petugas yg salah, pasien yg disalahin. Dari awal periksa sudah feeling gaenak. Kok ga dikasih tau apa"". Sampek saya bolak balik ke poli 3x buat tanya. Kenapa ga dijelasin dari awal saja. Wes prengat prengut. Nek ngomong kasar. Malah garai tambah setres",untuk pelayanan antrian sudah lumayan bagus sudah bisa antri online yg nanganin juga ramah tapi masuk ke poli yg dituju auranya sudah beda kita yg ga pernah pakai bpjs juga gatau alur pemeriksaannya harus dikasih tau bukan malah tambah di salah in petugas yg salah pasien yg disalahin dari awal periksa sudah feeling gaenak kok ga dikasih tau apa sampek saya bolak balik ke poli 3x buat tanya kenapa ga dijelasin dari awal saja wes prengat prengut nek ngomong kasar malah garai tambah setres,untuk pelayanan antrian sudah lumayan bagus sudah bisa antrian online yang nanganin juga ramah tapi masuk ke poli yang dituju auranya sudah beda kita yang tidak pernah pakai bpjs juga gatau alur pemeriksaannya harus dikasih tau bukan malah tambah di salah in petugas yang salah pasien yang disalahin dari awal periksa sudah feeling gaenak kok tidak dikasih tau apa sampek saya bolak balik ke poli 3x buat tanya kenapa tidak dijelasin dari awal saja wes prengat prengut nek ngomong kasar malah garai tambah setres,pelayanan antrian lumayan bagus antrian online nanganin ramah masuk poli dituju auranya beda pernah pakai bpjs gatau alur pemeriksaannya harus dikasih tau bukan malah tambah salah in petugas salah pasien disalahin awal periksa feeling gaenak kok dikasih tau apa sampek bolak balik poli 3x buat tanya kenapa dijelasin awal saja wes prengat prengut nek ngomong kasar malah garai tambah setres,Pelayanan,Positif,0.9547
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Sarawijaya,1,2025-11-01T07:59:22.696Z,"Yth kepada semua pegawai di puskesmas sembayat... MINTA TOLONG RAMAH DALAM MELAYANI PASIEN, MINIMAL SENYUM LAH, MECUCU AE NGOMONG E KASAR... ANANE NG PUSKESMAS IKU PERKORO LOROH, DI LAYANI DENGAN KASAR DI OMENG², JENENG E WONG LOROH NK GA ISOK MELAKUKAN APA YG JENENGAN INGINKAN IKU OJK D OMENG² BUKAN E WARAS TMBH LOROH.... PEGAWAI APOTEK JUGA KASAR BNGT, TANYA SOAL OBAT D JWAB ENAK² LAK ENK GA NYENTAK².... SEBENARNYA PERTANYAAN NYA ITU SIAP NGGK SIH MELAYANI PASIEN??? PAS PELATIHAN GA DI AJARI SENYUM?? GA DI AJARI RAMAH?? KOK CEK KASAR E.... AKU YH BAYAR LOH, TPI PELAYANAN E KYOK DI OSPEK.... JADIKAN PELAJARAN PAK BU, LEBIH RAMAH KE PASIEN....",yth kepada semua pegawai di puskesmas sembayat minta tolong ramah dalam melayani pasien minimal senyum lah mecucu ae ngomong e kasar anane ng puskesmas iku perkoro loroh di layani dengan kasar di omeng jeneng e wong loroh nk ga isok melakukan apa yg jenengan inginkan iku ojk d omeng bukan e waras tmbh loroh pegawai apotek juga kasar bngt tanya soal obat d jwab enak lak enk ga nyentak sebenarnya pertanyaan nya itu siap nggk sih melayani pasien pas pelatihan ga di ajari senyum ga di ajari ramah kok cek kasar e aku yh bayar loh tpi pelayanan e kyok di ospek jadikan pelajaran pak bu lebih ramah ke pasien,yth kepada semua pegawai di puskesmas sembayat minta tolong ramah dalam melayani pasien minimal senyum lah mecucu ae ngomong e kasar anane ng puskesmas iku perkoro loroh di layani dengan kasar di omeng jeneng e wong loroh nk tidak isok melakukan apa yang jenengan inginkan iku ojk d omeng bukan e waras tmbh loroh pegawai apotek juga kasar banget tanya soal obat d jwab enak lak enk tidak nyentak sebenarnya pertanyaan nya itu siap nggk sih melayani pasien pas pelatihan tidak di ajari senyum tidak di ajari ramah kok cek kasar e aku yh bayar loh tapi pelayanan e kyok di ospek jadikan pelajaran pak bu lebih ramah ke pasien,yth kepada semua pegawai puskesmas sembayat minta tolong ramah melayani pasien minimal senyum mecucu ae ngomong kasar anane ng puskesmas iku perkoro loroh layani kasar omeng jeneng wong loroh nk isok melakukan apa jenengan inginkan iku ojk omeng bukan waras tmbh loroh pegawai apotek kasar banget tanya soal obat jwab enak lak enk nyentak sebenarnya pertanyaan siap nggk melayani pasien pas pelatihan ajari senyum ajari ramah kok cek kasar aku yh bayar loh pelayanan kyok ospek jadikan pelajaran pak bu ramah pasien,Pelayanan,Positif,0.9777
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Siti Mushoffah,5,2025-10-15T04:56:58.090Z,Pelayanan puskesmas sembayat bagus. Kalau ada sedikit kesalahan ya manusiawi. Petugas Rama selalu siap dalam pelayanan. Memudahkan pengunjungnya..,pelayanan puskesmas sembayat bagus kalau ada sedikit kesalahan ya manusiawi petugas rama selalu siap dalam pelayanan memudahkan pengunjungnya,pelayanan puskesmas sembayat bagus kalau ada sedikit kesalahan ya manusiawi petugas rama selalu siap dalam pelayanan memudahkan pengunjungnya,pelayanan puskesmas sembayat bagus sedikit kesalahan ya manusiawi petugas rama selalu siap pelayanan memudahkan pengunjungnya,Pelayanan,Negatif,0.9737
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,sholi khah,5,2025-10-09T02:57:39.711Z,puskesmas sembayat pelayanannya bagus Juga tempatnya bersih dan menyenangkan 👍🏻👍🏻👍🏻,puskesmas sembayat pelayanannya bagus juga tempatnya bersih dan menyenangkan,puskesmas sembayat pelayanannya bagus juga tempatnya bersih dan menyenangkan,puskesmas sembayat pelayanannya bagus tempatnya bersih menyenangkan,Pelayanan,Negatif,0.9975
Kesehatan,UPT. PUSKESMAS SEMBAYAT,4.1,91,Muhib Ahmad,5,2025-10-06T22:23:35.319Z,"Pelayanan cepat, ramah",pelayanan cepat ramah,pelayanan cepat ramah,pelayanan cepat ramah,Pelayanan,Negatif,0.9955
