Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Wisata Bukit Surowiti,4.4,579,Slamet Purwanto,5,2025-11-10T13:54:52.839Z,"Tanjakan extrim tapi terbayarkan suasana nya tenang, nyaman, damai dan sejuk",tanjakan extrim tapi terbayarkan suasana nya tenang nyaman damai dan sejuk,tanjakan extrim tapi terbayarkan suasana nya tenang nyaman damai dan sejuk,tanjakan extrim terbayarkan suasana tenang nyaman damai sejuk,Fasilitas,Negatif,0.9954
Wisata,Wisata Bukit Surowiti,4.4,579,Gunawan S,5,2025-11-10T01:17:06.201Z,Mantap,mantap,bagus,bagus,Lainnya,Negatif,0.9961
Wisata,Wisata Bukit Surowiti,4.4,579,Faruq,5,2025-11-05T07:59:05.716Z,"Mantap, view nya bagus, cocok buat gabut dan senang² sama temen ataupun keluarga",mantap view nya bagus cocok buat gabut dan senang sama temen ataupun keluarga,bagus view nya bagus cocok buat gabut dan senang sama temen ataupun keluarga,bagus view bagus cocok buat gabut senang sama temen ataupun keluarga,Lainnya,Negatif,0.9971
Wisata,Wisata Bukit Surowiti,4.4,579,Roro jongrang,5,2025-09-27T08:51:15.581Z,Weekend apik,weekend apik,weekend apik,weekend apik,Lainnya,Negatif,0.9956
Wisata,Wisata Bukit Surowiti,4.4,579,Adi,5,2025-08-21T01:31:35.927Z,Suasananya membuat perasaan tenang,suasananya membuat perasaan tenang,suasananya membuat perasaan tenang,suasananya membuat perasaan tenang,Lainnya,Negatif,0.9936
Wisata,Wisata Bukit Surowiti,4.4,579,Shinta Rahmawati,5,2025-07-21T11:30:52.017Z,Hutan yg masih asli dg gua gua dan petilasan Sunan Kalijogo,hutan yg masih asli dg gua gua dan petilasan sunan kalijogo,hutan yang masih asli dengan gua gua dan petilasan sunan kalijogo,hutan asli gua gua petilasan sunan kalijogo,Lainnya,Netral,0.9479
Wisata,Wisata Bukit Surowiti,4.4,579,A1D1L F1KR1,5,2025-07-14T04:10:15.585Z,Adem tempat nya,adem tempat nya,adem tempat nya,adem tempat,Lainnya,Negatif,0.9947
Wisata,Wisata Bukit Surowiti,4.4,579,Joko Suhantono,5,2025-06-16T08:48:35.403Z,Pegunungan yg indah,pegunungan yg indah,pegunungan yang indah,pegunungan indah,Lainnya,Negatif,0.9961
Wisata,Wisata Bukit Surowiti,4.4,579,Gus Fik (Rd. Rofik),5,2025-05-07T12:06:16.074Z,"Terletak di perbukitan yang seolah memisahkan dunia nyata dengan alam spiritual, Wisata Surowiti adalah destinasi yang menawarkan landskap luar biasa indah dari berbagai sudut pandang. Setiap pijakan kaki seakan mengantarkan pengunjung pada panorama yang berbeda — dari lembah hijau yang tenang, gugusan bukit yang megah, hingga garis cakrawala yang terbentang luas seolah tanpa batas.  Namun, keindahan Surowiti tidak berhenti pada pemandangan alamnya saja. Ada aura mistis yang kental menyelimuti setiap sudut lokasi ini. Udara di sekitarnya membawa nuansa magis yang tenang, seakan tempat ini bukan hanya untuk dipandang, tetapi juga untuk direnungi. Banyak peziarah dan pengunjung yang datang bukan sekadar untuk berfoto atau menikmati suasana, tetapi untuk mencari ketenangan batin dan menyatu dengan keheningan spiritual.  Eksotisme Surowiti memang tidak biasa — ia bukan tempat wisata yang sekadar ""cantik"", tetapi memiliki karakter dan kedalaman. Jalur yang berkelok naik ke atas bukit seolah menjadi metafora perjalanan jiwa — makin tinggi, makin sunyi, makin jernih.  Bagi pencinta alam, fotografer, peziarah, atau siapa pun yang ingin menjelajahi sisi lain dari keindahan Jawa, Wisata Surowiti adalah destinasi yang wajib disinggahi. Di sini, alam dan ruh bertemu dalam harmoni yang nyaris tak bisa dijelaskan — hanya bisa dirasakan.",terletak di perbukitan yang seolah memisahkan dunia nyata dengan alam spiritual wisata surowiti adalah destinasi yang menawarkan landskap luar biasa indah dari berbagai sudut pandang setiap pijakan kaki seakan mengantarkan pengunjung pada panorama yang berbeda dari lembah hijau yang tenang gugusan bukit yang megah hingga garis cakrawala yang terbentang luas seolah tanpa batas namun keindahan surowiti tidak berhenti pada pemandangan alamnya saja ada aura mistis yang kental menyelimuti setiap sudut lokasi ini udara di sekitarnya membawa nuansa magis yang tenang seakan tempat ini bukan hanya untuk dipandang tetapi juga untuk direnungi banyak peziarah dan pengunjung yang datang bukan sekadar untuk berfoto atau menikmati suasana tetapi untuk mencari ketenangan batin dan menyatu dengan keheningan spiritual eksotisme surowiti memang tidak biasa ia bukan tempat wisata yang sekadar cantik tetapi memiliki karakter dan kedalaman jalur yang berkelok naik ke atas bukit seolah menjadi metafora perjalanan jiwa makin tinggi makin sunyi makin jernih bagi pencinta alam fotografer peziarah atau siapa pun yang ingin menjelajahi sisi lain dari keindahan jawa wisata surowiti adalah destinasi yang wajib disinggahi di sini alam dan ruh bertemu dalam harmoni yang nyaris tak bisa dijelaskan hanya bisa dirasakan,terletak di perbukitan yang seolah memisahkan dunia nyata dengan alam spiritual wisata surowiti adalah destinasi yang menawarkan landskap luar biasa indah dari berbagai sudut pandang setiap pijakan kaki seakan mengantarkan pengunjung pada panorama yang berbeda dari lembah hijau yang tenang gugusan bukit yang megah hingga garis cakrawala yang terbentang luas seolah tanpa batas namun keindahan surowiti tidak berhenti pada pemandangan alamnya saja ada aura mistis yang kental menyelimuti setiap sudut lokasi ini udara di sekitarnya membawa nuansa magis yang tenang seakan tempat ini bukan hanya untuk dipandang tetapi juga untuk direnungi banyak peziarah dan pengunjung yang datang bukan sekadar untuk berfoto atau menikmati suasana tetapi untuk mencari ketenangan batin dan menyatu dengan keheningan spiritual eksotisme surowiti memang tidak biasa ia bukan tempat wisata yang sekadar cantik tetapi memiliki karakter dan kedalaman jalur yang berkelok naik ke atas bukit seolah menjadi metafora perjalanan jiwa makin tinggi makin sunyi makin jernih bagi pencinta alam fotografer peziarah atau siapa pun yang ingin menjelajahi sisi lain dari keindahan jawa wisata surowiti adalah destinasi yang wajib disinggahi di sini alam dan ruh bertemu dalam harmoni yang nyaris tak bisa dijelaskan hanya bisa dirasakan,terletak perbukitan seolah memisahkan dunia nyata alam spiritual wisata surowiti destinasi menawarkan landskap luar biasa indah berbagai sudut pandang setiap pijakan kaki seakan mengantarkan pengunjung panorama berbeda lembah hijau tenang gugusan bukit megah hingga garis cakrawala terbentang luas seolah tanpa batas keindahan surowiti berhenti pemandangan alamnya saja aura mistis kental menyelimuti setiap sudut lokasi udara sekitarnya membawa nuansa magis tenang seakan tempat bukan hanya dipandang direnungi banyak peziarah pengunjung datang bukan sekadar berfoto menikmati suasana mencari ketenangan batin menyatu keheningan spiritual eksotisme surowiti memang biasa bukan tempat wisata sekadar cantik memiliki karakter kedalaman jalur berkelok naik atas bukit seolah menjadi metafora perjalanan jiwa makin tinggi makin sunyi makin jernih bagi pencinta alam fotografer peziarah siapa ingin menjelajahi sisi lain keindahan jawa wisata surowiti destinasi wajib disinggahi sini alam ruh bertemu harmoni nyaris tak dijelaskan hanya dirasakan,Administrasi,Negatif,0.9949
Wisata,Wisata Bukit Surowiti,4.4,579,Ahsanatul Munawwaroh,4,2025-03-02T16:08:16.788Z,Disini bisa belajar akan sejarah. Memliki pemandangan yang luar biasa indah. Suasananya teduh sehingga cocok digunakan untuk outbound atau belajar. Selain itu ada pesarean dan petilasan. Tiket masuknya cukup murah hanya 2 ribu per orang. Untuk naiknya cukup menguras tenaga. Tapi jangan khawatir karena kalau sudah nyampai atas kalian akan disuguhkan dengan pemandangan yang luar biasa,disini bisa belajar akan sejarah memliki pemandangan yang luar biasa indah suasananya teduh sehingga cocok digunakan untuk outbound atau belajar selain itu ada pesarean dan petilasan tiket masuknya cukup murah hanya ribu per orang untuk naiknya cukup menguras tenaga tapi jangan khawatir karena kalau sudah nyampai atas kalian akan disuguhkan dengan pemandangan yang luar biasa,disini bisa belajar akan sejarah memliki pemandangan yang luar biasa indah suasananya teduh sehingga cocok digunakan untuk outbound atau belajar selain itu ada pesarean dan petilasan tiket masuknya cukup murah hanya ribu per orang untuk naiknya cukup menguras tenaga tapi jangan khawatir karena kalau sudah nyampai atas kalian akan disuguhkan dengan pemandangan yang luar biasa,disini belajar sejarah memliki pemandangan luar biasa indah suasananya teduh sehingga cocok digunakan outbound belajar selain pesarean petilasan tiket masuknya cukup murah hanya ribu per orang naiknya cukup menguras tenaga jangan khawatir nyampai atas kalian disuguhkan pemandangan luar biasa,Lainnya,Negatif,0.9975
