Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Wisata Mangrove Hijau Daun,4.5,155,MD MFA,5,2026-07-29T09:27:39.143Z,asri banget,asri banget,asri banget,asri banget,Lainnya,Negatif,0.9968
Wisata,Wisata Mangrove Hijau Daun,4.5,155,MAULANA IBRAHIM,5,2025-07-21T04:08:06.601Z,tempatnya bagus rindang dan segar. cocok buat healing di menaranya bisa menikmati kehijauan mangrovenya dan angin segarnya.,tempatnya bagus rindang dan segar cocok buat healing di menaranya bisa menikmati kehijauan mangrovenya dan angin segarnya,tempatnya bagus rindang dan segar cocok buat healing di menaranya bisa menikmati kehijauan mangrovenya dan angin segarnya,tempatnya bagus rindang segar cocok buat healing menaranya menikmati kehijauan mangrovenya angin segarnya,Administrasi,Negatif,0.9978
Wisata,Wisata Mangrove Hijau Daun,4.5,155,zakiah sayedi,5,2025-05-21T11:37:27.527Z,had the opportunity to deepen our understanding of mangroves from the pro mashaallah. may their efforts not be in vain and the lands flourish with His Will 🤲,had the opportunity to deepen our understanding of mangroves from the pro mashaallah may their efforts not be in vain and the lands flourish with his will,had the opportunity to deepen our understanding of mangroves from the pro mashaallah may their efforts not be in vain and the lands flourish with his will,had the opportunity to deepen our understanding of mangroves from the pro mashaallah may their efforts not be in vain and the lands flourish with his will,Lainnya,Netral,0.6415
Wisata,Wisata Mangrove Hijau Daun,4.5,155,DIRK,5,2025-03-10T00:20:51.573Z,"Ekowisata mangrove Hijau Daun, + mangrove track, gardu pandang, canoeing, mancing, beach tracking + sejuk, gazebo sangat luas + masyarakat ramah + tempat belajar konservasi + bisa request untuk bikin event atau field trip + ada homestay + kontak ada di IGnya: Hijau Daun ecotourism",ekowisata mangrove hijau daun mangrove track gardu pandang canoeing mancing beach tracking sejuk gazebo sangat luas masyarakat ramah tempat belajar konservasi bisa request untuk bikin event atau field trip ada homestay kontak ada di ignya hijau daun ecotourism,ekowisata mangrove hijau daun mangrove track gardu pandang canoeing mancing beach tracking sejuk gazebo sangat luas masyarakat ramah tempat belajar konservasi bisa request untuk bikin event atau field trip ada homestay kontak ada di ignya hijau daun ecotourism,ekowisata mangrove hijau daun mangrove track gardu pandang canoeing mancing beach tracking sejuk gazebo luas masyarakat ramah tempat belajar konservasi request bikin event field trip homestay kontak ignya hijau daun ecotourism,Pelayanan,Negatif,0.5479
Wisata,Wisata Mangrove Hijau Daun,4.5,155,Wiwik Afiefah,5,2024-06-03T10:01:59.679Z,Tempat pembibitan mangrove.. Pohon api dan nipah.. Tenang dan bisa menikmati kicauan burung.. Ada gardu pandangnya.,tempat pembibitan mangrove pohon api dan nipah tenang dan bisa menikmati kicauan burung ada gardu pandangnya,tempat pembibitan mangrove pohon api dan nipah tenang dan bisa menikmati kicauan burung ada gardu pandangnya,tempat pembibitan mangrove pohon api nipah tenang menikmati kicauan burung gardu pandangnya,Administrasi,Negatif,0.9802
Wisata,Wisata Mangrove Hijau Daun,4.5,155,ahsin iqrori,4,2023-06-25T13:15:45.890Z,Survey buat pembangunan wisata mangrove,survey buat pembangunan wisata mangrove,survey buat pembangunan wisata mangrove,survey buat pembangunan wisata mangrove,Infrastruktur,Netral,0.9923
Wisata,Wisata Mangrove Hijau Daun,4.5,155,Ahmad Faiq,5,2023-04-25T08:06:26.245Z,Menarik untuk edukasi mangrove dan berwisata,menarik untuk edukasi mangrove dan berwisata,menarik untuk edukasi mangrove dan berwisata,menarik edukasi mangrove berwisata,Lainnya,Negatif,0.9853
Wisata,Wisata Mangrove Hijau Daun,4.5,155,Abdillah Faisal,5,2022-12-01T04:01:14.680Z,Pemandangan yang bagus di tambah udara khas pesisir dan banyak pohon rindang,pemandangan yang bagus di tambah udara khas pesisir dan banyak pohon rindang,pemandangan yang bagus di tambah udara khas pesisir dan banyak pohon rindang,pemandangan bagus tambah udara khas pesisir banyak pohon rindang,Lainnya,Negatif,0.9967
Wisata,Wisata Mangrove Hijau Daun,4.5,155,masbro vera,5,2022-08-09T02:25:32.988Z,"suasana nya nyaman,  udara segar serta pemandangan sungguh luar biasa indah. tenang kan hati dan pikiran.. ploongggggg dan adem...",suasana nya nyaman udara segar serta pemandangan sungguh luar biasa indah tenang kan hati dan pikiran ploongggggg dan adem,suasana nya nyaman udara segar serta pemandangan sungguh luar biasa indah tenang kan hati dan pikiran ploongggggg dan adem,suasana nyaman udara segar serta pemandangan sungguh luar biasa indah tenang kan hati pikiran ploongggggg adem,Fasilitas,Negatif,0.9979
Wisata,Wisata Mangrove Hijau Daun,4.5,155,Zubai Lailatus,5,2022-02-12T03:29:41.205Z,Nice,nice,nice,nice,Lainnya,Negatif,0.9923
Wisata,Wisata Mangrove Hijau Daun,4.5,155,Khaza Ina,2,2022-01-19T12:36:24.862Z,Jalan akses kesana nya kurang luas,jalan akses kesana nya kurang luas,jalan akses kesana nya kurang luas,jalan akses kesana kurang luas,Infrastruktur,Positif,0.9928
Wisata,Wisata Mangrove Hijau Daun,4.5,155,Kemas Rangga Jamaluddin,5,2021-01-24T09:04:14.917Z,Mangrove Hijau Daun tempat untuk menikmati sinar matahari dan tempat untuk berfoto,mangrove hijau daun tempat untuk menikmati sinar matahari dan tempat untuk berfoto,mangrove hijau daun tempat untuk menikmati sinar matahari dan tempat untuk berfoto,mangrove hijau daun tempat menikmati sinar matahari tempat berfoto,Administrasi,Negatif,0.9438
Wisata,Wisata Mangrove Hijau Daun,4.5,155,Bbh Chanel,5,2020-05-01T08:59:35.737Z,Mangrove tertata rapi👍🏽👍🏽👍🏽👨‍💻,mangrove tertata rapi,mangrove tertata rapi,mangrove tertata rapi,Lainnya,Negatif,0.9889
