Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Yellow Clinic Gresik,4.9,69,Nur Rohim,5,2024-08-01T12:37:58.835Z,Kamis MCU..jumat udah siap hasilnya,kamis mcu jumat udah siap hasilnya,kamis mcu jumat udah siap hasilnya,kamis mcu jumat udah siap hasilnya,Lainnya,Negatif,0.8635
Lainnya,Yellow Clinic Gresik,4.9,69,ASTRO BOY,5,2024-07-19T02:50:52.379Z,Pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Negatif,0.9952
Lainnya,Yellow Clinic Gresik,4.9,69,Mas Ahongg,5,2024-07-19T02:46:19.026Z,"tempatnya bersih, pelayanannya ramah",tempatnya bersih pelayanannya ramah,tempatnya bersih pelayanannya ramah,tempatnya bersih pelayanannya ramah,Pelayanan,Negatif,0.9974
Lainnya,Yellow Clinic Gresik,4.9,69,Danang 99,5,2024-07-19T02:42:59.777Z,"Baik, ramah, tulus, sopan,",baik ramah tulus sopan,baik ramah tulus sopan,baik ramah tulus sopan,Pelayanan,Negatif,0.9574
Lainnya,Yellow Clinic Gresik,4.9,69,Khoirul Wafiq,5,2024-07-19T02:40:01.630Z,"Pelayanan sangat memuaskan.., petugas.nya sangat ramah dan informatif",pelayanan sangat memuaskan petugas nya sangat ramah dan informatif,pelayanan sangat memuaskan petugas nya sangat ramah dan informatif,pelayanan memuaskan petugas ramah informatif,Pelayanan,Negatif,0.9933
Lainnya,Yellow Clinic Gresik,4.9,69,Suroto Heri,5,2024-07-19T02:34:34.511Z,"Petugasnya ramah cantik2, terimakasih yellow clinic",petugasnya ramah cantik2 terimakasih yellow clinic,petugasnya ramah cantik2 terimakasih yellow clinic,petugasnya ramah cantik2 terimakasih yellow clinic,Pelayanan,Negatif,0.9892
Lainnya,Yellow Clinic Gresik,4.9,69,M P Syahputra,5,2024-07-19T02:31:28.201Z,👍💯 pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Negatif,0.9952
Lainnya,Yellow Clinic Gresik,4.9,69,Darki Talek,5,2024-07-19T02:30:00.355Z,Ptugas ramah oke,ptugas ramah oke,ptugas ramah oke,ptugas ramah oke,Pelayanan,Negatif,0.9925
Lainnya,Yellow Clinic Gresik,4.9,69,Fajar Subuh,5,2024-07-10T23:46:57.511Z,Nyaman,nyaman,nyaman,nyaman,Fasilitas,Negatif,0.9972
Lainnya,Yellow Clinic Gresik,4.9,69,Agus Subandi,5,2024-07-09T00:57:46.613Z,Pelayanan nya baik petugas ramah dan klinik bersih,pelayanan nya baik petugas ramah dan klinik bersih,pelayanan nya baik petugas ramah dan klinik bersih,pelayanan baik petugas ramah klinik bersih,Pelayanan,Negatif,0.9937
