Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Vivi Widiyanti,5,2026-08-20T12:44:05.303Z,"Pelayanan sangat baik, ramah dan nyaman. Penjelasan yg diberikan sangat mudah dipahami. Sangat nyaman treatment di Zap gresik",pelayanan sangat baik ramah dan nyaman penjelasan yg diberikan sangat mudah dipahami sangat nyaman treatment di zap gresik,pelayanan sangat baik ramah dan nyaman penjelasan yang diberikan sangat mudah dipahami sangat nyaman treatment di zap gresik,pelayanan baik ramah nyaman penjelasan diberikan mudah dipahami nyaman treatment zap gresik,Pelayanan,Positif,0.9839
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Oktavia Della Anggraeni,5,2026-08-20T09:27:00.609Z,"pelayanan ramah, dokter.nya jelasin dengan gamblang",pelayanan ramah dokter nya jelasin dengan gamblang,pelayanan ramah dokter nya jelasin dengan gamblang,pelayanan ramah dokter jelasin gamblang,Pelayanan,Netral,0.5354
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Azriel Akbar,5,2026-08-20T08:06:53.092Z,"untuk pelayanannya ramah, tempatnya nyaman perawatnya juga telaten",untuk pelayanannya ramah tempatnya nyaman perawatnya juga telaten,untuk pelayanannya ramah tempatnya nyaman perawatnya juga telaten,pelayanannya ramah tempatnya nyaman perawatnya telaten,Pelayanan,Positif,0.992
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Naima Pardi,5,2026-08-20T05:44:26.869Z,Bagus banget pelayana nya suka banget,bagus banget pelayana nya suka banget,bagus banget pelayana nya suka banget,bagus banget pelayana suka banget,Lainnya,Positif,0.9974
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Lintang Kinanti Noor,5,2026-08-19T12:26:17.349Z,seru sekali pelayanannya ramah dan tempatnya nyaman🤩,seru sekali pelayanannya ramah dan tempatnya nyaman,seru sekali pelayanannya ramah dan tempatnya nyaman,seru pelayanannya ramah tempatnya nyaman,Pelayanan,Positif,0.9979
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Nela Tasyafa,5,2026-08-19T11:52:41.562Z,"staff nya ramah banget, mba mba di depan sangat helpfull buat aku yang baru pertama kali coba disiniiii, dokternya super informatifff, next mau coba balik lagi kesiniiiii🥰💖🌸",staff nya ramah banget mba mba di depan sangat helpfull buat aku yang baru pertama kali coba disiniiii dokternya super informatifff next mau coba balik lagi kesiniiiii,staff nya ramah banget mba mba di depan sangat helpfull buat aku yang baru pertama kali coba disiniiii dokternya super informatifff next mau coba balik lagi kesiniiiii,staff ramah banget mba mba depan helpfull buat aku pertama kali coba disiniiii dokternya super informatifff next mau coba balik kesiniiiii,Pelayanan,Positif,0.997
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Aghits Laily,5,2026-08-18T11:16:08.580Z,"First time nyobain treatment di zap, pelayanannya ramah bgt, ruangannya jg nyaman💚 semoga cocok, next time kesini lagi..",first time nyobain treatment di zap pelayanannya ramah bgt ruangannya jg nyaman semoga cocok next time kesini lagi,first time nyobain treatment di zap pelayanannya ramah banget ruangannya juga nyaman semoga cocok next time kesini lagi,first time nyobain treatment zap pelayanannya ramah banget ruangannya nyaman semoga cocok next time kesini,Pelayanan,Positif,0.9967
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Dewi Rachmawati Putri,5,2026-08-18T10:03:36.631Z,"Pelayanan bagus, hasil memuaskan kan😍🫰🏻",pelayanan bagus hasil memuaskan kan,pelayanan bagus hasil memuaskan kan,pelayanan bagus hasil memuaskan kan,Pelayanan,Positif,0.9966
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Oppo A5,5,2026-08-16T11:50:51.850Z,pelayanan bagus ramah ok bgt,pelayanan bagus ramah ok bgt,pelayanan bagus ramah oke banget,pelayanan bagus ramah oke banget,Pelayanan,Positif,0.9971
Kesehatan,Klinik & Praktek Dokter,ZAP Icon Mall Gresik,5,830,Rohmatul Ummah,5,2026-08-16T08:48:58.013Z,"good sejauh ini, pelayanan amat sangat ramah",good sejauh ini pelayanan amat sangat ramah,good sejauh ini pelayanan amat sangat ramah,good sejauh pelayanan amat ramah,Pelayanan,Positif,0.9964
